,맛_음식,상품명
139,"소나무와 학, 700ml, 43% 맑은 황갈색을 가지고 있으며 솔잎, 황기, 당귀가 들어가 알코올과 함께 약재 향, 오크 향 등이 올라온다. 입에 넣으면 처음에는 약하게 입 안에 퍼지고 시간이 지나면서 강한 알코올과 쓴맛, 약재 맛 들이 자리를 잡는다. 전체적으로 묵직하다. 약재가 많이 들어간 삼계탕과 잘 어울린다.",소나무와 학
140,"감홍로 백자, 700ml, 40% 맑은 담황색을 가지고 있으며 여러 가지 약재향이 함께 올라온다. 입 안에 넣으면 단맛과 알코올맛이 입 전체를 가득 채우고 술을 마시고 난 후에는 아주 깔끔한 산미가 혀에 자리를 잡아 술을 깔끔하게 만들어준다. 육회와 잘 어울린다.",감홍로 백자
141,"문배술 헤리티지 23도, 375ml, 23% 맑고 투명하며 익은 곡향이 올라온다. 알코올 도수가 높은 것은 아니지만 술 맛은 부드러워 알코올 도수가 더 낮은 숙성된 맛을 낸다. 자극적인 맛이 없어 누구나 편하게 즐길 수 있는 술이다. 첫맛과 뒷맛이 매우 깔끔하다. 복지리 등과 잘 어울린다.",문배술 헤리티지 23도
142,"풍정사계 하, 500ml, 18% 맑은 황금색을 가지고 있으며 푹 익은 참외향이 올라온다. 단맛이 강하고 산미는 적어 입 안을 꽉 차게 만든다. 술을 마시고 난 후에 숙성이 오래 됐을 때 나는 캐러멜 맛이 미세하게 느껴진다. 도수가 높아 기름진 중국음식과 잘 어울린다.",풍정사계 하
143,"문배술 헤리티지 40도, 200ml, 40% 맑고 투명하며 은은한 곡향과 알코올향이 함께 올라온다. 알코올 도수가 높아 입 안 전체에 알코올이 퍼지는데 매우 부드럽게 퍼진다. 술을 마시고 난 후에도 술의 맛이 입 안을 곽 채우고 있어 여운도 길게 남는다. 활어회와 아주 잘 어울린다.",문배술 헤리티지 40도
144,"백련 생막걸리 Misty 750ml, 7% 입국의 발효향과 곡물 익힌 향이 난다. 백련 6%에 비해 산미가 더 있고 묵직한 것이 특징이다. 청량미가 강해 입 안을 상쾌하게 만들고 혀에 남는 텁텁함이 음식을 당기게 한다. 양념한 생선찜이 좋다.",백련 생막걸리 Misty
145,"두레앙 브랜디, 750ml, 35% 진한 포도색에 위스키와 같은 오크향이 가득하게 올라온다. 부드러운 단맛이 처음에 올라오고 그 뒤로 은은한 쓴맛이 자리를 잡는다. 알코올이 입술과 혀를 자극시키고 술을 마시고 난 후에도 입 안에 풍미가 가득하다. 굴 요리와 잘 어울린다.",두레앙 브랜디
146,"강소주, 200ml / 1,800ml, 50% 알코올 향이 매우 강하고 여기에 미세하게 달콤한 향이 따라 올라온다. 국내에서는 보기 드물게 보리로만 제조된 리큐르이며, 보리 특유의 크림과 같은 맛을 느낄 수 있다. 도수가 높지만 단맛이 강해 입 안의 느낌과 마시고 난 후가 매우 깔끔하다.",강소주
147,"아황주, 500ml, 17% 새끼 오리의 깃털과 같이 노란 황금 빛깔의 술로 산뜻한 과실향이 올라온다. 술은 전체적으로 깔끔한 산미와 옅은 쓴맛이 중심이 되어 높은 알코올과 함께 섞여 있는 것이 특징이다. 밀 누룩을 이용해 술을 마시고 난 후에 느껴지는 쓴맛이 음식을 부르게 한다. 명란젓 등의 젓갈류와 잘 어울린다.",아황주
148,"청명주 750, 750ml, 17% 풍부한 과실향, 찹쌀 특유의 진득함과 단맛, 그리고 생약주 특유의 새콤함의 조화가 이뤄진 술이다. 청명주가 나오는 충주 탄금대는 남한강 나루터가 있는 곳으로 예로부터 민물 매운탕이 유명했던 곳이다. 따라서 쏘가리, 메기, 잡어 등 진득한 국물의 민물고기 매운탕이 잘 어울린다. 진득하고 새콤한 맛으로 수육 및 보쌈 등 비교적 담백한 고기류하고의 매칭도 좋다.",청명주 750
149,"여포의 꿈 레드 (Dry) 750ml , 12% 신선한 포도 껍질에서 나는 향이 진하게 올라오고 단맛과 신맛의 균형이 잘 갖춰져 있다. 옅은 타닌에 의한 떫은 맛이 혀를 자극시키며 목넘김이 가볍다. 스테이크와 잘 어울린다.",여포의 꿈 레드 (Dry)
150,"죽향 생막걸리, 750ml, 6% 연한 아이보리 빛깔에 곡물향이 은은하게 스쳐 지나간다. 단맛이 적고 산뜻한 신맛이 매력적인 술이다. 술을 마시고 난 후에도 가벼운 산미와 시원함이 더운날 시원한 바람에 흔들리는 대나무와 같다. 죽순무침과 함께 마시면 더할 나위 없다.",대대포 생막걸
151,"희양산막걸리 15%, 500ml, 15% 밀누룩을 이용해 진한 아이보리 빛깔을 갖고 있으며 신선한 곡물향이 매력적인 술이다. 전체적으로 단맛보다는 산미가 있지만 곡물의 고소함이 함께해 조화를 잘 이루고 있다. 일반 막걸리에 비해 도수(15%)가 높아 큰 잔 보다는 약주잔 좋다. 저녁에 다양한 반찬과 함께 반주로 딱 좋은 술이다.",희양산막걸리 15%
152,"맑은내일 우포, 325ml/500ml, 12% 약주 특유의 담황색을 가지고 있지만 한약 향 등은 전혀 느껴지지 않는 맑은술이다. 옥수수에서 나오는 듯 한 고소함이 있으며, 입속에 머금는 순간 적절한 부드러움이 느껴진다. 단맛, 신맛 등의 조화가 잘 이뤄져 있어서 부담되지 않는 맛과 향을 가지고 있다. 집안에서 홈술로 즐기기 좋은 술이며, 김치찌개, 된장찌개 등 일상의 음식과 즐기기 좋다.",맑은내일 우포
153,"명인 안동소주 22도, 360ml, 25% 기존 45도의 안동소주를 22도로 낮춘 제품으로 신선한 향이 올라온다. 술을 입에 넣으면 크림과 같은 부드러움이 입 안 전체를 채워주고 알코올이 혀를 자극시킨다. 목넘김이 좋고 술을 마시고 난 후에 여운이 짧다. 간고등어 구이와 잘 어울린다.",명인 안동소주 22도
154,"양촌 우렁이쌀 손 막걸리 750ml, 7.5% 달콤향 향이 강하게 올라온다. 전체적으로 단맛이 강하고 산미는 적어 안주 없이도 누구나 편하게 마실 수 있다. 야채 샐러드와 함께하면 좋다.",우렁이쌀 손 막걸
155,검붉은 색을 가지고 옅으면서 달콤한 과실향이 올라온다. 첫맛은 달콤하고 그 뒤로 약한 쓴맛이 입 전체에 자리를 잡는다. 알코올의 맛이 입과 식도를 뜨겁게 하지만 먹고 난 후 입 안은 깔끔하다. 양념된 고기류와 잘 어울린다.,국순당 오디랑
156,"민속주 안동소주, 800ml, 45% 알코올도수가 높고 부드러운 곡향이 올라온다. 술을 입에 넣으면 알코올이 입 안 전체를 채우고 혀를 오그라들게 할 정도로 자극을 준다. 술을 마시고 난 후에 쓴맛이 오랜 여운을 갖게 한다. 안동갈비와 잘 어울린다.",민속주 안동소주 600ml
157,"지장수호박막걸리 550ml , 6% 연한 노란 빛깔 감돌고 단맛과 신맛의 조화가 잘 갖춰져 있다. 입 안에 감도는 떫음과 쓴맛이 특징이다. 겉절이 김치와 수육이 잘 어울린다. ",지장수 호박 막걸
158,"머루 이야기, 375ml, 12% 연한 검붉은 빛의 색이며 다양한 과실향이 올라온다. 술을 입에 넣으면 달콤함이 입 안 전체에 퍼지고 금새 사라진다. 목넘김은 매우 깔끔하고 술을 마시고 난 후에 아주 약한 쓴맛이 혀에 자리를 잡는다. 잘 익힌 수육과 어울린다.",머루 이야기
159,"영일만친구 막걸리, 750ml, 6% 동해명주에서 나오는 동해동동주, 도구 막걸리 그리고 영일만 친구는 비슷한 맛을 가지고 있지만 특징이 하나씩 있다. 동해동동주는 쌀알이 동동 뜨는 모습, 도구 막걸리는 쌀과 함께 밀가루를 첨가하였으며, 영일만 친구는 우뭇가사리를 넣은 술이다. 우뭇가사리의 풍부한 식이섬유를 함께 마시는 즐거움이 있다. 역시 우뭇가사리 무침과 잘 어울린다.",영일만친구 막걸
160,"원조 소곡화주, 300ml, 41% 높은 온도에서 증류한 곡향이 올라오고 알코올 도수에 비해서 술 맛이 매우 부드럽다. 술을 마시고 난 후에 혀에 남는 알코올이 긴 여운을 남긴다. 시간이 지날수록 박하와 가은 화한 맛이 입 안에 남는 것이 특징이다. 맑은 복지리 탕과 잘 어울린다.",원조 소곡화주
161,"지란지교 무화과 탁주 500ml, 12% 생과일 딸기주스 같은 앵둣빛을 띤다. 진한 분홍색으로 고구마색 같기도 하다. 레드비트(무)향과 무화과향의 밸런스가 좋다. 의외의 조합이었지만 무화과와 레드비트의 캐릭터가 탁주 본연의 맛과 잘 어우러진다. 목 넘김은 약간 묵직한 편이다. 함께 먹기에 어울리는 음식으로 갈치조림, 고등어무조림, 무화과타르트가 있다.",지란지교 무화과 탁주
162,"신선주, 750ml, 15% 아주 맑은 황금빛의 술이며 당귀 등과 곡물에서 나오는 약재향과 고소함이 잘 올라온다. 단맛과 신맛이 잘 갖춰져 있으며 처음 입 안에 들어오는 센맛이 독특하다. 첫맛은 강하지만 시간이 지나면 가볍게 사라진다. 알코올의 맛이 술을 마시고 난 후에도 오래 머무른다. 진한 불고기와 잘 어울린다.",신선주
163,"한주, 360ml, 35% 쌀 소주 특유의 감칠맛과 숙성된 부드러운 맛이 느껴지는 증류식 소주다. 얼음, 탄산 등을 넣어 칵테일로도 즐길 수 있으며, 진한 맛으로 인해 돼기고기류하고도 잘 어울린다.",한주
164,"민속주 안동소주, 800ml, 45% 알코올도수가 높고 부드러운 곡향이 올라온다. 술을 입에 넣으면 알코올이 입 안 전체를 채우고 혀를 오그라들게 할 정도로 자극을 준다. 술을 마시고 난 후에 쓴맛이 오랜 여운을 갖게 한다. 안동갈비와 잘 어울린다.",민속주 안동소주 400ml
165,"미인약주, 500ml, 15% 맑은 황금색의 술로 잘 익은 과일향이 올라오는 것이 특징이며, 전체적으로 깔끔한 산미를 가지고 있다. 단맛이 적고 신맛이 많아 술은 매우 가볍고 목 넘김이 깔끔하다. 술을 마시고 난 후에도 잔여 맛이 남지 않아 산뜻한 느낌을 준다. 골뱅이나 홍어 무침 등 약간 산뜻한 맛이 있는 음식과 잘 어울린다.",미인약주
166,"모월 인, 500ml, 41% 증류주에서 단맛을 느낄 수 있는 술이다. 전통 증류주에서 얻을 수 있는 고소한 향과 입 안에 퍼지는 자극이 매우 부드럽다. 온도를 높여 마시게 되면 마치 오크통에 숙성된 오크향이 살짝 올라오는 것이 매력적이다. 모월 41은 차게 마시지 말고 실온에 두고 향을 잘 맡을 수 있는 잔에 마셔야 한다. 숯불에 구운 돼지고기와 환상의 조합을 이룬다.",모월 인
167,"편백숲 산소막걸리 딸기스파클링, 940ml, 6.8% 짙은 자색빛깔을 가진 딸기 스파클링 막걸리로 탄산이 매우 강한 것이 특징이다. 병을 오픈할 때 서서히 탄산이 올라오는 것을 즐길 수 있다. 술을 입에 넣는 순간 달콤한 딸기맛이 입 전체를 감싸준다. 신선한 청량감이 술을 마시고난 후에도 깔끔하게 만들어 준다. 수육 등 약간의 기름진 음식들과 잘 어울린다.",편백숲 산소막걸리 딸기스파클링
168,"설련주, 750ml, 16% 기분 좋은 담황색으로 시작하는 약주다. 부드러운 산미가 입속을 감싸주며, 이내 쌀 향이 주는 매끈한 단맛으로 후미를 장식한다. 가벼운 누룩향이 있는데, 숙성된 장을 느끼는 듯한 진한 맛이 살아있다.한복을 입고 마시면 가장 잘 어울릴 듯한 격식을 갖췄으며, 명절 때 차례주, 또는 제사주로 사용하는 것을 추천한다. 잘 어울리는 안주는 다소 진한 맛이 있는 만큼 진한 안주가 잘 어울리며, 주로 간장 맛이 좋은 불고기, 간장 게장, 궁중 떡볶이 등을 추천한다. 연잎이 들어간 만큼 연잎밥과도 좋은 매칭이다.",설련주
169,"백년향, 500ml, 10% 진한 막걸리를 즐기고 싶은 사람에게 추천하는 막걸리. 진한 맛으로 청주의 느낌으로 즐길 수 있는 제품이기도 하다. 단순한 단맛보다는 오랜 숙성을 통한 묵직한 곡물 맛이 느껴지는 제품으로 수제 막걸리의 깊이를 느껴볼 수 있는 제품이기도 하다. 단순한 파전 및 도토리묵보다는 조개찜, 전복구이 등 담백한 요리가 더욱 이 막걸리 맛을 살려줄 것이다.",백년향
170,"운암1945 750ml, 12% 산도, 당도, 보디감의 밸런스가 아주 좋아 섬세하고 우아한 느낌이다. 한치, 새우와 같은 해산물, 알리오올리오 파스타, 파마산치즈, 체다치즈와 함께 즐기기 좋다.",운암1945
171,"추성주 700ml (2병) , 25% 많은 약재가 들어있음에도 훈연된 향, 오크향 등이 매우 깔끔하게 올라온다. 25% 지만 독하게 느껴지지 않고 미미한 단맛이 바디감을 살려준다. 육포와 잘 어울린다.",추성주
172,"한산소곡주 750ml, 16% 연한 담황색에 매운 고추향이 올라오는 것이 매력적이다. 맑은 조청에 물을 타서 먹는 느낌이 처음에 드는데 아주 맛있는 단맛을 가지고 있다. 산미가 적어 입 안을 꽉 차게 만들어 주며 전체적으로 모시잎에서 나오는 독특한 모시잎차맛이 처음부터 끝까지 은은하게 자리를 잡고 그 위에 단맛이 잘 퍼진다. 좋은 술이다. 술이 곧 안주다.",한산소곡주(생주)
173,"까메오 막걸리 550ml , 6% 미세하게 올라오는 캐러멜 향기에 산미가 적고 당도가 높고 초콜릿 맛이 나는 것이 특징이다. 다양한 야채와 과실이 혼합된 샐러드와 함께 마시면 좋다.",까메오 막걸
174,"천년전주 생 막걸리 750ml , 6% 쌀과 밀가루가 혼합된 막걸리로 쌀 보다는 밀가루 막걸리의 묵직함이 느껴지는 막걸리로 단맛과 산미가 적어 테이블막걸리로 적합하다. 파전과 잘 어울린다.",천년전주 생 막걸
175,"불소곡주 700ml, 43% 물처럼 맑고 투명하지만 상압증류기를 이용해 불에 그을린듯한 향이 강하게 올라온다. 알코올 도수에 비해 자극적이지는 않지만 술을 입에 넣으면 입술과 혀를 서서히 자극시킨다. 입 안에 탄 듯한 맛이 남는 것이 강한 남자 같은 술 같다. 전골류와 잘 어울린다.",불소곡주
176,은은한 과실향이 올라오고 숙성이 잘 되어 입 안에 넣으면 아주 부드러운 퍼짐을 가지고 있다. 술을 마시고 난 후에 아주 신선한 산미가 남는데 매우 고급스런 맛이다. 알코올 퍼지는 느낌과 여운이 멋진 술이다. 활어회와 아주 잘 어울린다.,국순당 고구마증류소주 려(驪) 40도
177,"우도 땅콩 전통주 750ml, 6% 방앗간에서 깨소금을 볶았을 때 나는 고소한 향기를 가지고 있으며, 산미가 적고 단맛이 강하지만 목넘김은 매우 깔끔하다. 입 안에 기름진 맛이 특징이다. 안주 없이 들이키기 좋은 술이다.",우도 땅콩 전통주
178,"펀치 쌀 바나나, 750ml, 4% 병 뚜껑을 오픈하자마자 바나나 향을 느낄 수 있다. 술 빛은 아주 맑은 아이보리 색깔을 가지고 있으며 입에 넣으면 달콤함과 청량감이 동시에 입 전체에 퍼진다. 첫 맛은 달지만 혀에 느껴지는 산미가 입 안을 가볍게 만들어 준다. 전체적으로 맛있게 마실 수 있는 술이다. 달콤한 디저트 음식과 잘 어울린다.",펀치 쌀 바나나
179,"두레앙 와인, 750ml, 12% 로제와인 색을 가지고 있으며 바로 마시는 것 보다는 디캔팅을 통해 좋지 않은 향을 날려버리고 마시는 것이 좋다. 단맛과 신맛의 조화가 잘 갖춰져 있으며 목넘김 또한 무겁지 않고 부드럽게 넘어간다. 어떤 음식과도 잘 어울릴 수 있는 술이나 면요리와 특히 잘 어울린다.",두레앙 와인
180,"산막대덕주, 600ml, 13% 진한 황금색의 빛깔을 갖고 있으며, 산미는 적고 단맛이 술 전체의 맛을 이끌어 나간다. 입 안에 묵직함이 느껴지며 단맛이 강하지만 목넘김이 매우 깔끔하다. 술을 마시고 난 후에 혀에 좋은 쓴맛이 느껴진다. 화전과 잘 어울린다.",산막대덕주
181,"배도가 로아 40도 옐로우 350ml, 40% 곡물과 과실향이 알코올과 함께 동시에 올라온다. 알코올 도수가 높지만 술을 입에 넣으면 부드럽게 퍼지고 입술과 혀를 자극시키지 않아 숙성이 잘 된 술이라는 것을 알 수 있다. 첫 맛은 은은하고 중간에 강하고 그 후에 부드럽게 마무리 된다. 갈치젓 등 젓갈류와 잘 어울린다.",배도가 로아 40도 옐로우
182,"면천두견주 700, 700ml, 18% 면천두견주는 짙은 담황색을 띄고 있으며 진달래향과 함께 손에 닿으면 끈적할 정도로 단 맛이 일품이다. 알코올 도수가 18도로 발효 약주 가운데서는 비교적 높은 편이지만 알코올 향을 느낄 수 없을 정도로 부드럽게 목을 넘어간다. 신맛과 누룩향이 거의 없어 약주 특유의 맛을 기피했던 젊은 층이 좋아할 맛이다. 진달래 화전이나 은행구이 등 담백한 음식과 곁들이면 좋다.",면천두견주 700
183,"바나나 주 750ml, 4% 산미가 적고 단맛이 강하고 마치 바나나 음료를 마시는 듯하다. 남녀노소 언제든 편하게 마실 수 있는 막걸리다. 열대과일과 잘 어울린다.",바나나 주
184,"지리산 정담 생쌀 막걸리, 750ml, 6% 색의 희고 맑으며 곡물에 압력을 가했을 때 나오는 고소한 향이 올라온다. 단맛이 적고 맑은 산미가 입안 전체에 침이 고이게 하고 산뜻하게 만든다. 막걸리를 마시고 난 뒤에 혀에 남는 고소함이 매력적이다. 신선한 과일 샐러드와 잘 어울린다.",지리산 정담 생쌀 막걸
185,"천비향 화주, 375ml, 40% 상압방식의 증류식 소주로 익은 곡물과 훈연된 향이 짙게 올라오는 것이 특징이며, 알코올 도수에 비해 자극적이지 않고 입 안을 뜨겁게 만들어 술 이름 그대로이다. 오리 주물럭과 잘 어울린다.",천비향 화주
186,"석로주, 720ml, 13% 은은한 국화향과 곡물향이 잘 섞여 올라오는 것이 특징이며, 단맛과 신맛이 적어 술이 매우 담백해 어떤 음식과도 잘 어울릴 만한 맛을 가지고 있다. 드라이한 맛이 입 안을 꽉 채우고 마시고 난 후에는 은은한 쓴맛이 혀를 자극시킨다. 버섯 전골 등 전골류와 잘 어울린다.",석로주
187,"황금보리소주40, 375ml, 40% 보리를 원재료로 만든 증류식소주답게 구수한 맛과 독특한 향, 그리고 목 넘김이 좋다. 희석식 소주가 알싸한 알코올 향에 단맛이 느껴진다면 증류식 소주에서 느껴지는 은은한 누룩 향과 단맛이 매력적인 술이다. 40% 알코올이라 묵직한 맛에 입안에서 휘발 되며 잔향이 오래 남는다. 얼음을 넣어 마시면 청량감 있게 마실 수 있다. 술을 입에 넣으면 크림과 같은 부드러움이 입 안 전체를 채워주고 알코올이 혀를 자극시킨다. 목 넘김이 좋고 술을 마시고 난 후에 여운이 길다. 맛이 순한 생선 요리나 전 등이 잘 어울린다.",황금보리소주40
188,"술아 국화주, 375ml, 15% 국화 특유의 진한 향과 어우러진 약주. 단맛이 주를 이루지만, 거부감이 없는 자연스러움이 묻어난다. 진한 단맛과 긴 후미로 자극성 적고, 가벼운 샐러드류를 추천한다.",술아 국화주
189,"복숭아와인, 500ml, 12% 병 안에 복숭아를 그대로 넣어 놓은 듯하다. 황금빛 색을 가지고 있으며 잘 익은 복숭아 향이 가득하고 입 안에 넣으면 복숭아 향미가 맛을 더 깊이 있게 해준다. 적절한 단맛과 산미 그리고 마시고 난 뒤에 남는 향기가 사람이 떠난 여운을 남기 듯 오래 남는다. 안주 없이 와인만 있어도 충분한 술이다.",복숭아와인
190,"고창선운산 땡큐복분자주, 300ml, 13% 붉은 흑진주처럼 술 빛이 매혹적이다. 아주 미세하게 쓴맛이 있지만 전체적으로 단맛이 중심을 잡고 있어 누구라도 편하게 마실 수 있다. 술을 입에 넣으면 매우 가볍고 목 넘김이 깔끔한 것이 특징이며 마시고 난 후에도 매우 산뜻하다. 장어 구이와 잘 어울린다.",고창선운산 땡큐복분자주
191,"술공방 9.0 생막걸리, 500ml, 9% 진한 아이보리 빛깔을 갖고 있으며 입 안에 넣으면 호두나 땅콩등 견과류를 혼합한 크림을 마시는 듯 하다. 입 안에 남는 고소한 여운과 쓴맛이 다른 막걸리와 확연히 구별된다. 단맛과 신맛의 조화가 잘 갖춰져 있고 고기류보다는 신맛이 곁들여져 있는 무침류와 잘 어울린다.",술공방 9.0 생막걸
192,"정고집 나주쌀 생막걸리, 750ml, 6% 가벼운 누룩 향이 살짝 코끝을 스치는 듯 한 향. 쌀이 주는 맑은 아이보리 컬러에 마지막 후미까지 은은한 쌀의 향을 느낄 수 있다. 나주산 막걸리인 만큼 영산포의 홍어삼합이 생각나는 맛이다.",정고집 나주쌀 생막걸
193,"석탄주 약주, 500ml, 15% 옅은 황금색의 색을 가진 석탄주이다. 살짝 코끝을 스치는 시트러스 계열의 과실향이 다가오지만 이내 이 술이 추구하는 바가 무엇인지 알게 된다. 그것은 단맛이 전혀 없는 드라이함의 극치. 식중주가 잘 어울리는 약주로, 술의 향을 즐기기 위해 자극성 없는 음식과 함께 즐기는 것이 중요하다. 고기류라면 기름기가 적은 수육, 생선이라면 맛을 최대한 이끌어 내기 위해 참치 뱃살 등이 잘 어울릴 듯하다.",석탄주 약주
194,"그랑꼬또 레드와인, 750ml, 12% 맑은 포돗빛을 품고 있는 캠벨얼리 와인이다. 입안에 머금으면 상큼한 포도향부터 시작하며, 그 위로 단맛과 신맛, 그리고 미세한 타닌감도 뒤따라온다. 육류보다는 채소, 또는 해산물을 추천하고 싶은 와인이며, 육류와 즐긴다면 고추장 및 된장보다는 간장으로 양념이 되어 있는 요리가 와인의 맛을 잘 살려줄 듯하다. 레드 와인이지만 라이트함이 있는 만큼 시원하게 마신다면 생선요리, 나물 요리와도 잘 어울리는 로제 와인스러운 모습도 가지고 있다.",그랑꼬또 레드와인
195,"행운 막걸리, 750ml, 6% 진한 아이보리 빛깔에 술에 빵굽는 향이 매력적이다. 입 안에 술을 넣는 순간 매우 고소한 빵을 먹는 느낌이다. 전체적으로 산미가 적지만 단맛 또한 강하지 않아 입 안의 느낌이 무겁지 않는 것이 좋다. 마치 든든한 한끼의 식사를 하는 것 같다. 돼지김치볶음이나 불고기와 잘 어울리다.",행운 막걸
196,"볼빨간막걸리 10, 500ml, 10% 진한 살색을 갖고 있는 술로 볼빨간막걸리7도에 비해 물 희석량이 적고 도수가 높고 전체적인 맛 또한 진한 산미가 매력적이다. 술을 마시고 난 후에 아주 고소한 곡물의 느낌이 혀에 남아 긴 여운을 준다. 야채와 함께 곁들인 양지수육무침과 잘 어울린다.",볼빨간막걸리 10
197,"시나브로 화이트와인, 500ml, 11% 아름다운 골드빛을 가진 화이트 와인이다. 첫 향부터 밸런스가 잘 이뤄진 청포도향은 물론 사과향, 복숭아향까지 같이 느껴진다. 맛에서는 입맛을 자극하는 새콤함부터 마지막에 감미로운 느낌을 주는 달콤함도 품고 있다. 타닌감 및 오크통에서 나오는 진한 맛보다는 좋은 청포도를 맑은 곳에서 잘 발효시켰다는 이미지다.단맛이 다소 있지만, 산미가 좋아 식중주로도 가능하다. 다만 육류보다는 자극성이 적은 흰살생선을 추천하며, 이왕이면 고추장, 된장으로 요리된 것보다는 간장 베이스로 옅은 양념의 음식이 좋을 것이다.",시나브로 화이트와인
198,"진맥소주 53%, 200ml / 500ml, 53% 증류주에서도 감칠맛이 날 수 있다는 것을 보여줄 수 있는 거의 유일한 술일듯하다. 증류한 술에 물을 희석하면 밍밍한 맛이 많이나게 되는데 이 술은 물과 증류원액의 밸런스가 잘 잡혀있다. 이것은 오랜 숙성이 되어야만 가능한 맛이다. 너무 차게 마시게 되면 진맥소주의 가장 큰 장점이라고 할 수 있는 감칠맛을 못 느낄 수 있으니 20도 정도에서 마시길 권장한다. 돼지고기 수육과 환상의 궁합이다.",진맥소주 53%
199,"이도 32 750ml, 32% 무색투명하며 곡물향보다는 깔끔한 느낌이 주를 이룬다. 감압식 증류 방식이 누룩향을 잡아줘 깔끔하고 담백하다. 레몬, 라임과 탄산수를 섞어 마시거나 커피리큐르와 섞는 등 다양한 칵테일로 즐기기 좋다. 함께 먹기에 어울리는 음식으로 복지리탕, 우수육, 어복쟁반이 있다.",이도 32
200,"여포의 꿈 화이트 375ml , 12% 신선한 포도향에 마치 포도농장에 와 있는 듯 하다. 단맛은 적고 산미가 적당히 있어 바디감이 적고 목넘김이 깔끔하다. 조기찜과 잘 어울린다.",여포의 꿈 (화이트)
201,"로얄 안동소주18년, 600ml, 45% 알코올도수는 높지만 향은 강하지 않다. 입과 혀를 자극시키지 않아 숙성이 잘 된 술이며 입 안에서 잘 퍼져 들어간다. 술을 마시고 난 후에 입 안의 화끈거림이 증류식소주를 마셨구나 다시 생각나게 만들어 준다. 굴 요리가 생각난다.",로얄 안동소주 18년
202,"백련 맑은술 750ml, 12% 수박향이 나며 첫맛은 맑고 경쾌하다. 단맛과 신맛의 균형이 잘 갖춰져 있으며 고소한 뒷맛을 가지고 있다. 어묵요리와 잘 어울린다.",백련 맑은술
203,"만강에 비친 달 500ml, 10% 연한 아이보리 색과 은은하게 올라오는 호박의 단 향이 좋으며 단맛과 신맛의 균형이 잘 갖춰져 있다. 진한 부드러움이 목을 스치고 지나간다. 찌개류와 잘 어울린다.",만강에 비친 달
204,"김천 과하주, 700ml, 23도 색은 물처럼 맑고 약재향이 은은하게 올라온다. 첫 맛은 매우 가볍고 뒤에 약하게 쓴맛이 입 전체의 맛을 지배한다. 술을 마시고 난 후에는 알코올이 혀를 자극시킨다. 과하주의 특징인 단맛은 거의 없고 매우 가벼우며 은은한 쓴맛이 음식과는 궁합을 좋게 만들어 준다. 매운탕과 잘 어울린다.",김천 과하주 23도
205,"감사 375ml, 14% 은은하게 올라오는 과실향과 익은 곡물맛이 특징이며 전체적으로 단맛과 신맛 등 오미의 균형이 잘 갖춰져 있고 부드러운 목넘김을 가지고 있다. 전골류와 잘 어울린다.",감사
206,"동강더덕주, 355ml, 5% 연한 담갈색의 빛깔로 더덕의 향이 은은하게 입안에 감돈다. 집에서 담든 더덕주와는 달리 더덕향과 알코올 도수가 과하지 않게 적절하게 매치되어 가볍게 마실 수 있다. 더덕양념구이와 함께 하면 더욱 좋다.",동강더덕주
207,"호모루덴스, 500ml, 12% 연한 아이보리 색을 가지고 있으며 은은하게 달콤한 향이 올라오지만 맛은 단맛과 신맛이 적고 연한 쓴맛으로 술이 매우 드라이하다. 일반 막걸리에 비해 도수가 높아(12%) 입 안의 풍미가 강하고 술을 마시고 난 후에도 긴 여운이 남는다. 돼지 목살 숯불 구이와 잘 어울린다.",호모루덴스
208,"천비향 오양주 탁주, 500ml, 14% 진한 아이보리 색깔을 가지고 있으며, 타 막걸리 보다 도수가 높아 곡물 발효향이 알코올 향에 섞여 올라오는 것이 특징이다. 발효 기간이 길어 탄산에 의한 청량감은 없지만 술 맛은 산뜻한 산미가 전체적인 맛을 이끌고 있지만 어느 하나 맛이 튀지 않고 단맛, 신맛 등 오미의 조화가 잘 갖춰져 있다. 파스타 등 맛이 강하지 않은 면 요리와 잘 어울린다.",천비향 오양주 탁주
209,"술예쁘다 생탁주, 500ml, 13% 술 이름처럼 홍국쌀을 이용해 붉은 팥의 색감을 가지고 있는 것이 특징이다. 막걸리로는 높은 알코올 도수가 향은 더욱 돋보이게 한다. 술 맛은 전체적으로 신선하고 맛있는 산미가 주를 이루고 단맛이 산미를 잡아주는 형국이다. 신맛과 단맛의 조화가 좋고 술을 마시고 난 후에는 고소한 맛이 입 안에 남는다. 홍어무침과 잘 어울린다.",술예쁘다 생탁주
210,"해파랑, 375ml,13% 잘 익은 황금색 벼를 닮은 색을 가지고 있으며 잘 익은 곡물 향미가 입 전체를 자극시킨다. 발효 과정 중에 방풍이 들어가 독특한 향과 맛을 가지고 있다. 전체적으로 단맛과 고소한 맛이 주를 이루고 산미가 적어 삼계탕과 함께 먹으면 좋다.",해파랑
211,"사과와인, 500ml, 12% 예쁜 라벨 이미지를 가진 금이산 사과와인을 잔에 따르고 그 향을 맡으면 마치 사과 밭에 와 있는 듯 매우 신선한 사과 향을 느낄 수 있다. 잘 익은 사과에서 나오는 풍미 있는 향과 입 안에 가득한 향미, 그리고 적절한 산미가 술을 밸런스를 더해준다. 양념된 고기류와 잘 어울린다.",사과와인
