,상품명,주종,도수,용량,가격,원재료,제조사,대표자명,주소,연락처,온라인스토어,홈페이지,우리술 품평회,가격수정
137,하향주,약주,17%,750ml,"￦45,000 (가격은 판매처 별로 상이할 수 있습니다)","국내산 찹쌀, 
                                        누룩, 
                                        정제수",하향주가 영농조합법인,박환희,대구광역시 달성군 유가읍 휴양림길 440-27,010-4906-2005,,,,45000
138,진맥소주 40%,증류식소주,40%,200ml / 500ml,"200ml ￦22,000, 
                                        500ml ￦49,000 (가격은 판매처 별로 상이할 수 있습니다)",유기농 우리밀 100%,농업회사법인 (주)밀과노닐다,김선영,경북 안동시 도산면 신성중앙길32,054-841-1105,https://smartstore.naver.com/millfun/products/4871921490,,,49000
139,소나무와 학_750ml,일반증류주,43%,750ml,"￦39,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        솔잎, 
                                        황기, 
                                        당귀, 
                                        효모, 
                                        아스파탐",용두산조은술,조국환,충북 제천시 송학면 송학주천로647,043-651-0770,https://shopping.naver.com/fresh/traditionalalcohol/stores/100078069,,,39000
140,감홍로 백자_700ml,일반증류주,40%,700ml,"￦75,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀(70%), 
                                        조(30%), 
                                        7가지 약재(용안육, 계피, 진피, 정향, 생강, 감초, 지초)",농업회사법인(주)감홍로,이민형,경기도 파주시 파주읍 부곡리 34-7,010-2738-6233,https://shopping.naver.com/fresh/traditionalalcohol/stores/100075517,,,75000
141,문배술 헤리티지 23도_375ml,증류식소주,23%,375ml,"￦50,000(375ml*9병)(가격은 판매처 별로 상이할 수 있습니다.)","메조, 
                                        찰수수, 
                                        쌀",문배주양조원,이기춘,경기도 김포시 통진읍 서암리 203-4,031-989-9333,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077340,,,50000
142,풍정사계 하_500ml,약주,18%,500ml,"￦35,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산찹살, 
                                        향온곡",농업회사법인(유)화양,이한상,충북 청주시 청원구 내수읍 풍정1길 8-4,043-214-9424,,https://pjsg.modoo.at/,,35000
143,문배술 헤리티지 40도_200ml,증류식소주,40%,200ml,"￦48,000(200ml*4병)(가격은 판매처 별로 상이할 수 있습니다.)","메조, 
                                        찰수수, 
                                        쌀",문배주양조원,이기춘,경기도 김포시 통진읍 서암리 203-4,031-989-9333,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077340,,,48000
144,백련 생막걸리 Misty,탁주,7%,750ml,"￦3,000 (가격은 판매처 별로 상이할 수 있습니다.)","백미, 정제수, 물엿, 과당, 누룩, 백련잎, 누룩 등",신평양조장,김동교,충남 당진시 신평면 신평로 813,041) 362-6080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074045,,,3000
145,두레앙 브랜디_750ml,브랜디,35%,750ml,"￦70,000(가격은 판매처 별로 상이할 수 있습니다.)",거봉포도원액,농업회사법인(주)두레양조,권혁준,충남 천안시 서북구 입장면 율목길17-6,041-585-8213,,https://dureang.modoo.at/,,70000
146,강소주,일반증류주,50%,"200ml / 1,800ml","￦11,000(1,800ml)(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        정제수",내국양조,이명자,충남 논산시 연무읍 마종로 361,041-742-3413,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113507,,,11000
147,아황주,약주,17%,500ml,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 
                                        멥쌀, 
                                        누룩, 
                                        정제수",최행숙 전통주가,최행숙,경기도 파주시 법원읍 사임당로 763,031-958-1297,,http://파주전통주.kr,,23000
148,청명주 750,약주,17%,750ml,"￦36,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 찹쌀, 
                                        누룩, 
                                        소맥분",중원당,김영섭,충북 충주시 중앙탑면 청금로 112-10,043-842-5005,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074048,,,36000
149,여포의 꿈 (레드 드라이),과실주,12%,750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)",국내산 포도 100%,여포와인농장,여인성,충북 영동군 양강면 유점지촌길 75(여포와인농장),043) 744-7702,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069118,,,20000
150,죽향 생막걸리,탁주,6%,750ml,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        정제효소, 
                                        젖산, 
                                        효모, 
                                        아스파탐, 
                                        정제수",농업회사법인 (주)죽향도가,장유정,전남 담양군 담양읍 외다길30,061-381-8700,,https://dyricewine.modoo.at/,,2000
151,희양산막걸리 15%,탁주,15%,500ml,"￦9,500 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        누룩, 
                                        정제수",두술도가,김두수,경북 문경시 가은읍 가은5길 7,010-4276-2329,,https://doosool.modoo.at,,9500
152,맑은내일 우포,살균약주,12%,325ml / 500ml,"325ml ￦5,000, 
                                        500ml ￦7,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        옥수수전분, 
                                        효모, 
                                        누룩, 
                                        양파, 
                                        정제수",농업회사법인 우포의아침(주),박중협,"(1공장) 경남 창녕군 대지면 대지농공단지길 40, 
                                        (2공장) 경남 창원시 의창군 북면 천주로 1173번길29",070-4105-0997,,http://www.woopo.net,,7000
153,안동소주 22도_360ml,증류식소주,22%,360ml,"￦27,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        누룩, 
                                        정제수",명인 안동소주,박재서,경북 안동시 풍산읍 산업단지6길 6,054-856-6903,https://shopping.naver.com/fresh/traditionalalcohol/stores/100066783,,,27000
154,양촌 우렁이쌀 손 막걸리,탁주,7.5%,750ml,"￦39,000원 1박스 15개입 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 정제수 효모, 정제효소, 효소처리 스테비아",양촌양조,이동중,충남 논산시 양촌면 매죽헌로 1665번길 14-7,041) 741-2011,,http://yangchon.modoo.at/,,39000
155,오디랑,과실주,13%,330ml,"￦4,000(가격은 판매처 별로 상이할 수 있습니다)","오디(국산) 18.2%, 
                                        정제수, 
                                        과당, 
                                        주정, 
                                        구연산, 
                                        효모",국순당 고창명주,김영동,전북 고창군 심원면 선운대로 2197,063-564-9800,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077970,,,4000
156,민속주 안동소주_600ml,증류식소주,45%,600ml,"￦28,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        누룩, 
                                        정제수",민속주안동소주,조옥화,경북 안동시 강남로 71-1,054-858-4541,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076656,,,28000
157,지장수 호박 막걸리,살균탁주,6%,550ml,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다.)","정제수(지장수), 쌀, 효모, 누룩, 과당 등",낙천,성재기,강원도 동해시 공단2로 73,033) 522-1163,,http://nakchun.modoo.at/,,5000
158,머루 이야기_375ml,과실주,12%,375ml,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)",국내산 산머루,농업회사법인산들벗(주),정무균,전라북도 무주군 적상면 서창로 72,063-322-9447,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074042,,,6000
159,영일만친구 막걸리,탁주,6%,750ml,"￦15,000(750ml*9병)(가격은 판매처 별로 상이할 수 있습니다)","국내산 쌀, 
                                        물엿, 
                                        우뭇가사리, 
                                        효모, 
                                        조제 종국, 
                                        정제효소제, 
                                        아스파탐, 
                                        젖산",동해명주,양민호,경북 포항시 남구 동해면 일월리 51-1,054-284-3049,,https://www.yangjo.com/,,15000
160,원조소곡화주_300ml,일반증류주,41%,300ml,"￦14,000 (가격은 판매처 별로 상이할 수 있습니다)","찹쌀, 
                                        멥쌀, 
                                        누룩",원조소곡주,이홍기,충남 서천군 한산면 한마로34,041-951-0785,,http://www.원조소곡주.com/,,14000
161,지란지교 무화과 탁주,탁주,12%,500ml,"￦30,000(2병) (가격은 판매처 별로 상이할 수 있습니다)","찹쌀, 
                                        멥쌀(국내산), 
                                        전통누룩(국내산 밀), 
                                        정제수, 
                                        무화과청, 
                                        레드비트분말, 
                                        밀함유",(유)친구들의술지란지교,임숙주,전라북도 순창군 순창읍 순창7길 5-1,010-9533-1478,https://smartstore.naver.com/limsugzu,,,30000
162,신선주_750ml,살균약주,16%,750ml,"￦19,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        능금, 
                                        신선초, 
                                        천궁, 
                                        구기자, 
                                        당귀솔잎, 
                                        대추, 
                                        인삼",용두산조은술,조국환,충북 제천시 송학면 송학주천로647,043-651-0770,https://shopping.naver.com/fresh/traditionalalcohol/stores/100078069,,,19000
163,한주,증류식소주,35%,360ml,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        밀누룩, 
                                        정제수",한주양조,이성자,경기도 안성시 서운면 서운로 241-14,031-672-0964,,http://hanjuy.kr.ecplaza.net,,12000
164,민속주안동소주_400ml,증류식소주,45%,400ml,"￦28,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        누룩, 
                                        정제수",민속주안동소주,조옥화,경북 안동시 강남로 71-1,054-858-4541,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076656,,,28000
165,미인약주,약주,15%,500ml,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 
                                        누룩, 
                                        정제수",최행숙 전통주가,최행숙,경기도 파주시 법원읍 사임당로 763,031-958-1297,,http://파주전통주.kr,,25000
166,모월 인,증류식소주,41%,500ml,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        누룩, 
                                        정제수",협동조합 주담,김원호,강원도 원주시 판부면 판부신촌길 84,033-748-8008,,http://www.mowall.co.kr,,40000
167,편백숲 산소막걸리 딸기스파클링,탁주,6.8%,940ml,"￦41,000 (가격은 판매처 별로 상이할 수 있습니다)","멥쌀, 
                                        찹쌀, 
                                        누룩, 
                                        딸기, 
                                        올리고당",농업회사법인 (주)청산녹수,김진만,전남 장성군 장성읍 남양촌길(백계리) 19,061-393-4141,https://smartstore.naver.com/bluegreenk/products/4645823087,,,41000
168,설련주,약주,16%,750ml,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)","백련, 
                                        찹쌀, 
                                        멥쌀, 
                                        누룩",영농조합법인 석전상온전통주가,곽우선,경북 칠곡군 왜관읍 동산2길19,054-976-3552,https://shopping.naver.com/fresh/traditionalalcohol/stores/100376352/products/4341643157,,,35000
169,백년향,탁주,10%,500ml,"￦33,000(500ml*3병)(가격은 판매처 별로 상이할 수 있습니다)","국내산 쌀, 
                                        누룩, 
                                        정제수",(주)농업회사법인 추연당,이숙,경기도 여주시 가남읍 금당리길 1-111,070-8850-5312,https://shopping.naver.com/fresh/traditionalalcohol/stores/100204396,,,33000
170,운암1945,약주,12%,750ml,"￦28,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        누룩, 
                                        정제수",농업회사법인 우포의아침 주식회사,박중협,경상남도 창녕군 대지면 대지농공단지길 40,010-4595-6353,https://smartstore.naver.com/menib001/category/6cc874ce5c554af8a44b9749e3ab4773?cp=1,,,28000
171,추성주,일반증류주,25%,700ml,"￦80,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 정제수, 누룩, 오미자, 구기자, 상심자, 갈근",추성고을,양대수,전라남도 담양군 용면 추령로 29,061) 383-3011,https://shopping.naver.com/fresh/traditionalalcohol/stores/100075524,,,80000
172,한산소곡주_생주,약주,16%,750ml,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 
                                        누룩, 
                                        백미, 
                                        정제수",녹천주조장,이임순,충청남도 서천군 한산면 한마로 105,041-951-9191,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113506,,,12000
173,까메오 막걸리,살균탁주,6%,550ml,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다.)","정제수(지장수), 쌀, 효모, 누룩, 과당 등",낙천,성재기,강원도 동해시 공단2로 73,033) 522-1163,,http://nakchun.modoo.at/,,5000
174,천년전주 생 막걸리,살균탁주,6%,750ml,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)","정제수, 쌀, 소맥분, 수쿠랄로스, 효모, 젖산, 정제효소",(유)산에들에 농업회사법인,이재광,전북 완주군 구이면 구이로 885,063) 223-3233,,http://3e2e.modoo.at/,,1300
175,불소곡주_700ml,리큐르,43%,700ml,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 
                                        누룩, 
                                        백미, 
                                        정제수, 
                                        야국, 
                                        메주콩, 
                                        생강, 
                                        홍고추",한산소곡주,우희열,충청남도 서천군 한산면 충절로 1118번지,041-951-0290,https://shopping.naver.com/fresh/traditionalalcohol/stores/100070000,,,30000
176,려(驪)고구마증류소주 40도,증류식소주,40%,500ml,"백화점 35,000 원(가격은 판매처 별로 상이할 수 있습니다)",고구마(여주산 100%),(농)국순당 여주명주(주),박용구,경기도 여주시 강천면 부평로 330,080-0035-100,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074039,,,35000
177,우도 땅콩 전통주,기타주류,6%,750ml,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)","정제수, 전분당, 백미, 국, 땅콩분, 효모, 젖산 등",조은술 세종,경기호,충북 청주시 청원구 사천로 18번길 5-2,043) 218-7689,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068990,,,4000
178,펀치 쌀 바나나_750ml,기타주류,4%,750ml,"￦2,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        바나나농축액, 
                                        효모, 
                                        종곡, 
                                        정제수, 
                                        합성착향료, 
                                        합성감미료",내변산(동진주조),정태식,전북 부안군 행안면 부안농공단지길 14-11,063-582-0027,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068999,,,2000
179,두레앙 와인_750ml,과실주,12%,750ml,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)",거봉포도원액,농업회사법인(주)두레양조,권혁준,충남 천안시 서북구 입장면 율목길17-6,041-585-8213,,https://dureang.modoo.at/,,15000
180,산막대덕주_600ml,약주,13%,600ml,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        우리밀누룩",농업회사법인신탄진주조(주),유황철,대전시 대덕구 신탄진로 738번길 128,042-932-0432,,https://stjjujo.modoo.at/,,20000
181,배도가 로아 40도 옐로우_350ml,일반증류주,40%,350ml,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국산), 
                                        배(국산)",배혜정 도가,배혜정,경기도 화성시 정남면 문학리 674-23,02-3462-7328,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069102,,,20000
182,면천두견주 700ml,약주,18%,700ml,"￦30,000(700ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)","국내산 찹쌀, 
                                        누룩, 
                                        진달래꽃",(주)면천두견주,김현길,충남 당진시 면천로 성하로 250,041-355-5430,,http://www.면천두견주.한국,,30000
183,바나나 주,기타주류,4%,750ml,"￦1,700 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 국 , 정제수, 바나나 농축액, 조제종국, 효모, 물엿 등",조은술 세종,경기호,충북 청주시 청원구 사천로 18번길 5-2,043) 218-7689,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068990,,,1700
184,지리산정담생쌀 막걸리_750ml,탁주,6%,750ml,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        종국, 
                                        정제수, 
                                        누룩, 
                                        효모",지리산그린영농조합 운봉주조,최규창,전라북도 남원시 운봉읍 황산로 1018,063-634-0009,,https://herbsul.modoo.at/,,1500
185,천비향 화주,증류식소주,40%,375ml,"￦50,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        누룩",농업회사법인(주)좋은술,이예령,경기도 평택시 오성면 숙성뜰길 108,031-681-8929,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113477,,,50000
186,석로주,약주,13%,720ml,"￦34,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        석이버섯, 
                                        누룩, 
                                        효모, 
                                        정제수",석이원주조,이상권,대전 동구 송촌남로 13,042-485-5520,,,,34000
187,황금보리소주40,증류식소주,40%,375ml,"￦78,500(375ml*5병)(가격은 판매처 별로 상이할 수 있습니다)","보리, 
                                        누룩, 
                                        정제수",황금보리(유)농업회사법인,김가해,충남 홍성군 서부면 서부로 696,041-631-8722,,http://www.황금보리.com/,,78500
188,술아 국화주,약주,15%,375ml,"￦36,000(375ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)","국내산 찹쌀, 
                                        누룩, 
                                        건조국화꽃, 
                                        증류주, 
                                        정제수",농업회사법인(주)술아원,강진희,"경기도 여주시 대신면 대신1로 120, 나호",070-8776-0007,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076879,,,36000
189,복숭아와인,과실주,12%,500ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)","복숭아(국내산), 
                                        백설탕, 
                                        효모, 
                                        메타중아황산칼륨",영농조합법인 금이산농원,김영기,세종시 전의면 가느실길 127,044-863-3478,,https://geumisan.modoo.at/,,20000
190,고창복분자주300,과실주,13%,300ml,"￦50,000(300ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)","복분자과실, 
                                        주정, 
                                        효모, 
                                        구연산, 
                                        정제수",농업회사법인 고창선운산(유),주순덕,전북 고창군 심원면 심원로 270-73,061-561-6855,https://shopping.naver.com/fresh/traditionalalcohol/stores/100168768,,,50000
191,술공방 9.0 생막걸리,탁주,9%,500ml,"500ml ￦5,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        밀누룩(국내산), 
                                        국, 
                                        효모, 
                                        효소, 
                                        올리고당",두이술공방,이윤범,충남 청양군 대치면 방죽골길 46-19,041-943-7678,https://shopping.naver.com/fresh/traditionalalcohol/stores/100553177/products/4742966426,,,5000
192,정고집 나주쌀 생막걸리,탁주,6%,750ml,"￦12,000(750ml*10병)(가격은 판매처 별로 상이할 수 있습니다)","쌀, 
                                        쌀가루(국내산), 
                                        조제종국, 
                                        정제효소, 
                                        젖산, 
                                        아스파탐, 
                                        아세셀팜칼",남도탁주,정내진,전남 나주시 노안면 노안로379,010-2718-2577,,https://namdotakju.modoo.at/,,12000
193,석탄주 약주,약주,15%,500ml,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다)","국내산 찹쌀, 
                                        누룩, 
                                        정제수",케이소주 (전주가양주연구소),서승권,전북 전주시 완산구 중산중앙로27. 3층,010-4651-5595,,https://ksoju.modoo.at/,,7000
194,그랑꼬또 레드와인,과실주,12%,750ml,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)",포도(캠벨얼리),그린영농조합법인,김지원,경기도 안산시 단원구 뻐꾹산길 107(대부북동),032-886-9873,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113491,,,35000
195,행운 막걸리,탁주,6%,750ml,"￦1,100 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        소맥분(미국산), 
                                        전분당, 
                                        정제수, 
                                        정제효소, 
                                        종국, 
                                        효모, 
                                        젖산, 
                                        아스파탐",성포양조장,원태연,경남 거제시 사등면 지석3길3,010-3589-5134,,http://성포양조장.kr,,1100
196,볼빨간막걸리 10,탁주,10%,500ml,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다)","찹쌀(국내산), 
                                        누룩, 
                                        정제수",농업회사법인 (주)벗드림,김성욱,"부산광역시 북구 덕천로247번길 3, 2층",051-337-3762,,https://blog.naver.com/butdream9,,7000
197,시나브로 화이트와인,과실주,11%,500ml,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)",청포도(청수),불휘농장,이근용,충북 영동군 심천면 약목2길26,043-742-5275,https://shopping.naver.com/fresh/traditionalalcohol/stores/100223357/products/3296767503,,,30000
198,진맥소주 53%,증류식소주,53%,200ml / 500ml,"200ml ￦39,000, 
                                        500ml ￦88,000 (가격은 판매처 별로 상이할 수 있습니다)",유기농 우리밀 100%,농업회사법인 (주)밀과노닐다,김선영,경북 안동시 도산면 신성중앙길32,054-841-1105,https://smartstore.naver.com/millfun/products/4881631381,,,88000
199,이도 32,일반증류주,32%,750ml,"￦37,000 (가격은 판매처 별로 상이할 수 있습니다)","물, 
                                        증류원액(유기농 쌀, 국내산)",조은술세종,경기호,충청북도 청주시 청원구 사천로18번길 5-2,043-218-7689,https://smartstore.naver.com/kkhoss,,2016 대상,37000
200,여포의 꿈(화이트),과실주,12%,375ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)",국내산 포도 100%,여포와인농장,여인성,충북 영동군 양강면 유점지촌길 75(여포와인농장),043) 744-7702,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069118,,,20000
201,로얄 안동소주 18년_600ml,증류식소주,45%,600ml,"￦72,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        입국",농업회사법인 유토피아(주),서주현,경북 안동시 남후면 광음리 1111-2,070-7439-3129,,https://sojumall.modoo.at/,,72000
202,백련 맑은술,약주,12%,375ml,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)","백미, 정제수, 물엿, 과당, 누룩, 백련잎, 누룩 등",신평양조장,김동교,충남 당진시 신평면 신평로 813,041) 362-6080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074045,,,7000
203,만강에 비친 달,탁주,10%,500ml,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다.)","홍천 쌀, 정제수, 단호박, 곡자(밀 누룩)",예술,정회철,강원도 홍천군 내촌면 물걸리 508-2,033) 435-1120,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076877,,,12000
204,김천 과하주 23도_700ml,기타주류,23%,700ml,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)","멥쌀, 
                                        누룩, 
                                        샘물, 
                                        황국잎",김천 과하주,송강호,경북 김천시 대항면 괘방령로 1178-4,054-436-4461,,https://gwahaju.modoo.at/,,22000
205,감사,약주,14%,375ml,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산 경기미 100%), 누룩, 정제수",술샘,신인건,경기도 용인시 처인구 양지면 죽양대로 2298-1,070) 4218-5225,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076876,,,15000
206,동강더덕주_360ml,리큐르,20%,360ml,"￦3,500(가격은 판매처 별로 상이할 수 있습니다.)","더덕, 
                                        대추구기자, 
                                        감초, 
                                        원지",영월더덕영농조합법인,고태섭,강원도 영월군 주천면 솔치로 633,033-372-1885,https://shopping.naver.com/fresh/traditionalalcohol/stores/100112684,,,3500
207,호모루덴스,탁주,12%,500ml,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        누룩, 
                                        정제수",농업회사법인(주)산수,안병수,강원도 홍천군 화촌면 야시대로 211-57,070-4195-0772,,,,12000
208,천비향 오양주 탁주,탁주,14%,500ml,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        누룩",농업회사법인(주)좋은술,이예령,경기도 평택시 오성면 숙성뜰길 108,031-681-8929,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113477,,,18000
209,술예쁘다 생탁주,탁주,13%,500ml,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        누룩",농업회사법인(주)좋은술,이예령,경기도 평택시 오성면 숙성뜰길 108,031-681-8929,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113477,,,18000
210,해파랑,약주,13%,375ml,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        해방풍(국내산), 
                                        계량누룩, 
                                        젖산, 
                                        이소말토올리고당, 
                                        정제수",농업회사법인(주)영덕주조,김상호,경북 영덕군 강구면 소월1길 16-10,054-733-5641,,http://ydjujo.co.kr/new/index.php,,10000
211,사과와인,과실주,12%,500ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)","사과(국내산), 
                                        백설탕, 
                                        효모, 
                                        메타중아황산칼륨",영농조합법인 금이산농원,김영기,세종시 전의면 가느실길 127,044-863-3478,,https://geumisan.modoo.at/,,20000
212,예천주복 만월40,일반증류주,40%,350ml,"￦19,200 (가격은 판매처 별로 상이할 수 있습니다)","복분자(국내산)증류원액, 
                                        복분자(국내산)과즙, 
                                        정제수",농업회사법인(주)착한농부,김상선,경북 예천군 용문면 복천길 16-8,054-652-0877,,https://goodfarmer.modoo.at/,,19200
213,순향주,약주,15%,375ml,"￦56,000(375ml*3병)(가격은 판매처 별로 상이할 수 있습니다)","국내산 쌀, 
                                        누룩, 
                                        정제수",(주)농업회사법인 추연당,이숙,경기도 여주시 가남읍 금당리길 1-111,070-8850-5312,https://shopping.naver.com/fresh/traditionalalcohol/stores/100204396,,,56000
214,애석,약주,15%,500ml,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)","국내산쌀, 
                                        누룩, 
                                        정제수",농업회사법인 두루(주),김경찬,강원도 홍천 내촌면 용포길 31-25,070-4156-9090,https://shopping.naver.com/fresh/traditionalalcohol/stores/100441845,,,30000
215,진맥소주 22%,증류식소주,22%,375ml,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다)",유기농 우리밀 100%,농업회사법인 (주)밀과노닐다,김선영,경북 안동시 도산면 신성중앙길32,054-841-1105,https://smartstore.naver.com/millfun/products/4871863798,,,22000
216,도깨비술 9%,탁주,9%,750ml,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)","멥쌀(국내산), 
                                        누룩, 
                                        효모, 
                                        정제수",농업회사법인 (주)도깨비양조장,김진경,충북 단양군 가곡면 사평3길 5,070-4133-2030,https://smartstore.naver.com/dokkaebisul/products/4676619155,,,10000
217,느낌 30,증류식소주,30%,360ml,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다)","백미(국내산), 
                                        누룩, 
                                        효모, 
                                        정제수",농업회사법인 명품안동소주 (주),윤종림,경북 안동시 풍산읍 유통단지길 124-34,054-853-1200,https://smartstore.naver.com/andongmyongju/products/3458697714,,,6500
218,심플리 애플,기타주류,12%,350ml,"￦ 9,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국산), 
                                        사과즙(국산), 
                                        벌꿀(국산)",주식회사 배혜정 농업회사법인,김백규,경기도 화성시 정남면 서봉로 835,031-354-9378,https://smartstore.naver.com/baedoga,,,9000
219,유기농 이도 42,증류식소주,42%,750ml,"￦42,000 (가격은 판매처 별로 상이할 수 있습니다.)","유기농쌀 (100%), 정제수, 증류원액, 국, 조제종국, 효모 등",조은술 세종,경기호,충북 청주시 청원구 사천로 18번길 5-2,043) 218-7689,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068990,,,42000
220,메로니아,기타주류,4%,750ml,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 국, 효모, 젖산, 멜론 향, 물엿 등",배혜정 도가,배혜정,경기도 화성시 정남면 문학리 674-23,02) 3462-7328,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069102,,,2000
221,지장수 호박 생 막걸리,탁주,6%,750ml,"￦1,400 (가격은 판매처 별로 상이할 수 있습니다.)","정제수(지장수), 쌀, 효모, 누룩, 과당 등",낙천,성재기,강원도 동해시 공단2로 73,033) 522-1163,,http://nakchun.modoo.at/,,1400
222,맑은 문희주,약주,13%,750ml,"￦36,000 (가격은 판매처 별로 상이할 수 있습니다.)","유기농찹쌀 (국산), 멥쌀 (국산), 전통누룩 (우리 밀), 정제수",문경주조,홍승희,경북 문경시 동로면 노은2리 49-15,054) 552-8252,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113504,,,36000
