,정보,상품명
138,진맥소주는 안동 명개마을에서 직접 재배한 유기농 통밀로 상압 증류한 전통 수제 방식의 국내 유일의 밀로 만든 소주다. 밀 씨앗을 뿌리는 것부터 술을 병에 담기까지는 한결같은 정성이 깃든다. 진맥소주 한 병에는 2년의 가다림 5평방미터의 밀밭 그리고 농부의 한 말 땀방울이 담겨 있다. 건강한 밀은 고유의 꽃향기를 지닌 우아한 술이 된다. 향긋한 밀꽃과 참꽃 향기는 자연이 우리에게 선사하는 최고의 선물이다.,진맥소주 40% 
139,소나무와 학은 오랜시간 정성으로 빚은 명품 증류주이다. 전통 증류주를 빚는 방식으로 오대쌀을 발효 숙성 후 감압증류방식으로 증류하고 제천 황기 당귀 등 약초에 침출하여 1년 이상 장기 숙성하여 생산한다. 약초향이 은은하게 퍼지고 쌀로 빚은 술 특유의 부드러움이 어우러진 깔끔한 맛의 전통 증류주이다. 2016년 대한민국 우리술품평회 일반증류주 부문에서 대상을 수상하며 그 품질력을 인정 받았다.,소나무와 학 
140,감홍로(甘紅露)의 감(甘)은 단맛을 홍(紅)은 붉은 색을 로(露)는 증류된 술이 항아리 속에서 이슬처럼 맺힌다는 뜻으로 독특한 향이 어우러져 미각 시각 후각을 만족시키는 술이다. 감홍로는 고려시대부터 전해 내려온 우리나라 고유의 술로 육당 최남선(1890~1957)은 전라도 죽력고 황해도 이강주와 함께 감홍로를 조선 3대 명주로 칭하며 그중에서도 감홍로를 첫 번째로 꼽았다.,감홍로 
141,문배술은 메조와 찰수수를 이용하여 빚어낸 순곡의 증류주임에도 문배나무의 과실 향기가 난다고 하여 문배술이라 말하고 있다.\xa0술의 생명력은 맛이요 그 맛의 핵심은 향기라고 할 수 있는데 문배술은 알콜도수 40%임에도 불구하고 부드러운 목넘김과 입속 가득한 향기를 느낄 수 있는 우리의 전통소주이다. 문배술 헤리티지 23도 제품은 문배술의 맑고 청아한 맛과 향을 모던한 패키지에 담아낸 제품이다. 기존 알코올도수 40도에서 23도로 낮춰 가볍게 즐길수 있는 제품이다.,문배술 헤리티지 23도 
142,\풍정사계 하\는 설기로 밑술한 법주를 발효 후 저온 숙성한 과하주로 상온에서 여름을 넘길 수 있도록 만들어진 조상의 지혜가 담긴 술이다. 약주의 달콤함과 소주의 씁쓸함이 조화롭게 어우러져 고도주를 즐기는 분들과 고도주에 다가가기 힘든 분들 모두에게 추천할만한 술이다. 찬 샘에 담가 놓은 맑은 술을 정자에 앉아 매미소리를 들으며 마시고 싶은 술이다.,풍정사계 하 
143,문배술은 메조와 찰수수를 이용하여 빚어낸 순곡의 증류주임에도 문배나무의 과실 향기가 난다고 하여 문배술이라 말하고 있다.\xa0술의 생명력은 맛이요 그 맛의 핵심은 향기라고 할 수 있는데 문배술은 알콜도수 40%임에도 불구하고 부드러운 목넘김과 입속 가득한 향기를 느낄 수 있는 우리의 전통소주이다. 문배술 헤리티지 40도 제품은 문배술의 맑고 청아한 맛과 향을 모던한 패키지에 담아낸 제품이다.,문배술 헤리티지 40도 
144,유리병에 담긴 프리미엄 막걸리인 백련 생막걸리 misty는 깊은 맛과 은은한 탄산의 조화가 잘 이루어진 막걸리로 80년 이상된 숨쉬는 재래식 항아리에서 철저한 온도관리 아래 발효하여 소량만 한정생산되는 수제 프리미엄 막걸리이다. 신평양조장은 1933년 처음 술을 빚기 시작해 3대째 가업을 이어오고있는 전통의 양조장이다. 수년간의 연구 개발과 투자로 여러가지 술을 선보이고 있으며 당진 태생의 최상급 해나루 쌀과 백련잎을 주원료로 탄생한 술은 깊으면서도 깔끔한 뒷맛이 특징이다. 2013년 찾아가는 양조장으로 선정되어 술의 전통과 역사에 대한 전시와 전통주 문화 체험이 가능한 <백련양조문화원>을 운영하고 있다. 체험 프로그램 문의는 신평양조장 홈페이지나 전화로 예약이 가능하다.,백련 생막걸리 Misty 
145,두레앙 와인은 와인이 떫은맛을 내는 타닌 성분이 강하지 않고 프랑스의 유명 와인인 보졸레 누보와의 소비자 비교 시음회에서 맛은 물론 가격에서도 월등하다는 평을 받은 우수한 와인이다. 천안 입장 지역의 거봉 포도는 알이 굵고 단맛이 높아 남녀노소 누구나 좋아하는 명품 포도로 자리매김하고 있다. 바로 이 거봉 포도를 주원료로 생산된 와인을 증류 숙성 여과 후 오크통 숙성을 거쳐 생산된 것이 두레앙 브랜디이다. 두레앙 브랜디는 증류 과정에서 두통을 유발하는 초류와 후류를 제거해 깔끔한 맛을 자랑한다. 특히 맛을 좋게 하기 위해 감압식 증류로 생산 일반 농가에서 만들어 먹는 증류주에 비해 불 냄새가 없고 포도향이 강해 제대로 된 거봉 증류주의 풍미를 만끽할 수 있다. 오크통 숙성을 하여 오크향과 묵직한 바디감이 일품이다.,두레앙 브랜디 
146,강소주는 일반 희석식 소주와는 달리 순수 쌀의 감미로운 향이 살아 있으며 알코올 특유의 자극적인 주정취 또는 쓴맛이 없는 알코올 도수 50%의 고도주이다. 한국소주로는 최초로 2009년 미국 LA 국제 국제 와인&스피릿 품평회에서 동상을 수상하였다.,강소주 
147,맑은 황금빛의 약주인 아황주는 고려시대 왕실에서 사시사철 빚어 음용하였기에 고려 왕실의 명주라 불렸던 술을 고문헌 수운잡방 신사요록을 바탕으로 농촌진흥청의 우리술 복원 프로젝트에서 복원된 전통주이다. 까마귀(鴉)가 노랗게(黃) 보일 정도로 노랗다는 뜻을 담고 있는 아황주는 진하고 맑은 담황색 빛깔과 깊은 단맛을 내는 것이 특징이다.,아황주 
148,수백 년을 이어져 내려온 재래 전통비법으로 빚은 청명주는 그윽한 향기와 독특한 감칠맛이 그대로 살아 숨쉬는 술이다. 중원당 청명주는 100% 국내산 원료만을 사용하여 술을 빚으며 찹쌀과 누룩 소맥분을 제외한 일체의 인공감미료나 첨가물을 넣지 않고 저온에서 오랜 기간 발효 숙성한다. 17%의 알코올에 색과 향 그리고 맛이 뛰어나다.,청명주 750 
149,여포 농장이 위치한 충북 영동 지역은 일교차가 크고 충분한 햇볕을 받아 과일의 향이 좋고 색이 아름답기로 유명하다. 이곳에서 무농약 무제초 무비료의 3대 원칙을 지켜나가며 자연이 주는 위대한 힘에 이루어 작물을 키워 술을 담그며 이 작물로 만드는 와인의 깊은 맛과 풍미는 어느 유명 와인과 견주어도 손색 없을 정도로 그 완성도가 뛰어나다. 여포의 꿈 (레드 드라이)는 머스켓베리에이(MBA) 켐벨얼리 산머루의 세가지 포도품종을 각각 70% 20% 10%의 비율로 브랜딩하여 각각의 품종 장점을 최대한 끌어내 복합적이고 풍부한 질감과 풍미 부드러움과 긴 여운을 가진 남성적인 와인이다.,여포의 꿈 레드 (Dry) 
150,죽향 생막걸리는 전남 담양에서 생산한 도정한지 1개월 이내의 엄선된 쌀을 원료로 사용해서 쌀의 아밀로스를 최적화하여 향미가 살이 있는 생막걸리이다. 댓잎을 첨가해 천연발효시켜 보존기간을 다른 막걸리에 비해 늘린 제품이다. 고품질 술 생산 장려와 소비자 보호를 위해 국가에서 지정하는 술품질인증을 취득했고 2015년도 남도 전통술품평회 생막걸리부문에서 최우수상을 수상하여 그 품질을 인정 받았다.,대대포 생막걸리 
151,‘희양산막걸리’는 경북 문경시 가은읍에 위치한 희양산 자락 아래 맑은 지역에서 무농약 무화학비료로 농사지어진 쌀 만을 사용한다. 여기에 우리밀 누룩을 첨가하여 빚어진다. 일체의 인공첨가물은 사용하지 않으며 한 달 이상의 완전 발효와 숙성을 거치므로 탄산이 거의 없다. ‘희양산막걸리’는 드라이한 편에 속하는 막걸리이며 단맛 신맛 쓴맛 등의 다양한 맛이 포함된 프리미엄 수제 막걸리다.,희양산막걸리 15% 
152,맑은내일 우포는 쌀과 밀누룩을 사용해 만든 약주에 창녕의 특산물 양파를 넣어 완성한 맑고 깔끔한 맛이 매력적인 약주이다. 양파를 원료로 완성해 말간 색을 띠고 있다. 2008년 환경올림픽이라 불리는 람사르총회 공식 건배주로 선정되었다. 제조사 우포의 아침은 술을 비롯해 발효 식초 건강 음료 양조발효 장아찌 등 발효식품 전문기업으로 고유의 발효기술을 기반으로 바이오기업으로 도약하고자 하는 미래형 양조장이다.,맑은내일 우포 
153,700여년전 중국 원나라의 병참기지가 안동에 세워지면서 현재 한국 전통 증류식소주의 대명사 안동소주의 제조기법이 전해졌다. 이후 500여년 전 조선시대 안동의 명문가인 은곡 박진 선생의 반남 박씨 가문에서 가양주로 빚어오던 안동소주의 제조비법을 25대손인 박재서 명인이 계승발전 시켜 현재에 이르고 있다. 높은 알코올 도수에 비해 부드러운 맛을 자랑하고 있는 명인 안동소주는 역사와 전통성을 계승한 오리지널 안동소주로 자리매김하고 있다. 명인 안동소주는 저도주를 선호하는 현대인의 기호에 맞춰 기존 45도 제품에서 35도 22도 19도의 제품을 선보이고 있다.,명인 안동소주 22도 
154,양촌 우렁이쌀 손 막걸리는 우렁이 농법으로 100% 무농약 재배한 논산 햅쌀로 빚은 수제 막걸리다. 기존 생 막걸리 3배 이상 긴 시간 동안의 저온숙성 단계를 지나서야 비로소 소비자와 교감할 수 있는 깨끗함과 깊은 맛을 낸다. 부드러운 목 넘김이 특징인 7.5도의 우렁이 쌀 막걸리는 양촌양조 프리미엄 탁주의 대표주자이다.,양촌 우렁이쌀 손 막걸리 
155,원재료 생산지부터 차별화된 프리미엄급 술 오디랑은 단맛과 신맛이 조화로운 새콤달콤한 맛이 일품으로 생산과정의 깐깐함은 국순당 고창명주의 자존심이 그대로 담겨 있다. 어느 서양의 고급 과실주와 견주어도 뒤쳐지지 않을 만큼 매혹적인 흑붉은색 색감과 짙은 향은 우리 술의 매력을 느끼기에 충분하다.,오디랑 
156,안동소주는 주로 명문가의 가양주로 계승되어 왔으며 일제 강점기와 해방 후 식량문제 등으로 자칫 단절될 위기에 처한 적이 있었다. 서울 올림픽을 계기로 정부의 적극적인 민속주 발굴에 힘입어 1987년 경북 무형문화재 제12호 안동소주 기능보유자로 고 조옥화여사가 지정되어 1990년 9월에 생산을 시작했으며 고 조옥화 여사는 2000년 국가지정 식품명인 제20호로도 지정되기도 했다. 현재는 안동소주 기능보유자인 며느리 배경화와 아들 김연박에게 제법이 전승되어 생산하고 있다. 안동의 “맑고 깨끗한 물과 옥토에서 수확된 양질의 쌀”을 가지고 전통비법으로 빚어낸 증류식소주로서 45도의 높은 도수에도 마신뒤 담백하고 은은한 향취에다 감칠맛이 입안 가득히 퍼져 매우 개운하다. 또 장기간 보관이 가능하며 오래 지날수록 풍미가 더욱 좋아지는 장점을 가진 한국을 대표하는 전통주이다.,민속주 안동소주 
157,약천골 지장수는 천연적으로 생성된 지장수로 인위적으로 만들어 낸 것이 아닌 자연적으로 만들어진 지장수다. 이런 지장수로 빚어낸 막걸리에 호박을 첨가하여 목 넘김이 좋고 달달 한 맛이 특징. 2014년 우리술 품평회 최우수품질상을 수상하기도 했다.,지장수 호박 막걸리 
158,청정 무주에서 재배되는 산머루를 발효하여 만든 고급 과실주이다. 새로운 와인제조기술을 도입하여 머루만의 장점을 최대한 살려 빚은 과실주로 유려하고 세련된 패키지 디자인으로 젊은층에게 호응을 얻고 있는 제품이다. 2013년 대한민국 우리술품평회 과실주 부문 우수상을 수상하며 그 품질을 인정 받았다.,머루 이야기 
159,영일만친구 막걸리는 경북 포항을 대표하는 우리쌀로 빚은 막걸리이다. 대중가요 영일만친구로도 유명한 영일만은 포항을 상징적으로 나타내는 지명이기도 하다. 영일만친구 막걸리는 포항시청에서 브랜드를 만들고 포항공대에서 연구개발하고 동해명주에서 생산한 제품으로 관청과 학계 그리고 산업이 협력하여 스타 브랜드를 만든 대표적인 성공사례이기도 하다. 100% 포항쌀로 빚고 식유섬유가 풍부한 우뭇가사리가 첨가된 제품이다.,영일만친구 막걸리 
160,한산소곡주를 소줏고리에 불을 지펴서 증류하여 만든 술로 소곡화주 또는 불소곡주라고도 불린다. 한산소곡화주는 국내산 찹쌀과 누룩을 주원료로 빚은 한산소곡주를 한 방울 한 방울 정성을 다하여 증류시켜 만든 고도주(高度酒)이다. 강한 첫 맛과 함께 깔끔한 뒷맛을 가지고 있으며 고급원주을 사용하기 때문에 그 맛과 향이 어느 술보다 뛰어나다. 2016년 대한민국 우리술품평회 일반증류주 부문에서 장려상을 수상하였다.,원조 소곡화주 
161,옛날 평양의 이름난 주가에서는 순창에서 생산되는 누룩을 가져다 술을 빚었다고 할 만큼 유명한 마을이 순창 건곡리(乾穀里)이다. “지란지교”는 이곳 건곡리의 구전비법 누룩과 주방문을 빌어 재현한 술로 멥쌀죽과 찹쌀고두밥으로 두 번 빚고 일체의 첨가물 없이 오직 전통누룩으로만 100일간 발효와 90일의 숙성을 끝낸 전통주로 “지란지교”의 풍미와 향취는 맑은 바람 한자락에 꽃향이 피어나듯 단맛 신맛 쓴맛에 더해 기분 좋은 떫은맛과 향까지 오감을 자극한 술이다.,지란지교 무화과 탁주 
162,오래전부터 약주를 장기간 복용하게 되면 늙지도 않고 머리가 검어지며 동안이 되어 결국에는 신선처럼 된다는 전설이 내려온다. 신선주에는 능금 신선초 천궁 구기자 당귀솔잎 대추 인삼 등 몸에 좋은 다양한 약재가 들어가 있다. 신선주는 건강 증진의 목적과 함께 전염병에 대한 예방과 치료 성인병으로 상징되는 혈환관계 질환과 신경관계 질환에 대한 예방과 치료 강장 강정효과 머리와 피부를 늙지 않고 윤택하게 만들어 주는 약재들이 들어간 약주이다.,신선주 
163,땀을 내듯 증류시킨다는 뜻으로 한주(汗酒) 이슬같이 받아낸다는 의미로 로주(露酒)라고도 불린다. 서울시 무형문화재 제2호 송절주의 기능보유자 故박아지 여사와 며느리 이성자 선생에 의해 계승 발전되어 왔다. 한번 맛을 보면 일반 소주보다 명렬한 기운에 금세 흥취가 오르지만 뒤끝이 없이 맑게 깨 다시 찾게 되는 매력이 장점이다. 1994년부터 본격적으로 시판되고 있다.,한주 
164,안동소주는 주로 명문가의 가양주로 계승되어 왔으며 일제 강점기와 해방 후 식량문제 등으로 자칫 단절될 위기에 처한 적이 있었다. 서울 올림픽을 계기로 정부의 적극적인 민속주 발굴에 힘입어 1987년 경북 무형문화재 제12호 안동소주 기능보유자로 고 조옥화여사가 지정되어 1990년 9월에 생산을 시작했으며 고 조옥화 여사는 2000년 국가지정 식품명인 제20호로도 지정되기도 했다. 현재는 안동소주 기능보유자인 며느리 배경화와 아들 김연박에게 제법이 전승되어 생산하고 있다. 안동의 “맑고 깨끗한 물과 옥토에서 수확된 양질의 쌀”을 가지고 전통비법으로 빚어낸 증류식소주로서 45도의 높은 도수에도 마신뒤 담백하고 은은한 향취에다 감칠맛이 입안 가득히 퍼져 매우 개운하다. 또 장기간 보관이 가능하며 오래 지날수록 풍미가 더욱 좋아지는 장점을 가진 한국을 대표하는 전통주이다.,민속주 안동소주 
165,미인약주는 국내산 찹쌀과 우리밀누룩으로 빚고 일체의 인공첨가물이 들어가지 않은 프리미엄 약주이다. 술이 품고 있는 각각의 맛이 튀지 않고 잘 어우러진 가운데 부드러운 산미가 개성을 드러내고 있는 술이다.,미인약주 
166,모월은 단순히 전통적 방식을 재현한 증류식 소주를 넘어 동시대를 사는 우리의 정신을 담아낸 술이다. 병풍처럼 둘러진 치악산 아래 위치한 원주는 예로부터 텃세가 없고 정이 많은 곳이라 누구라도 살기 좋은 고장으로 치악산과 원주를 ‘모월산’ 또는 ‘모월’이라 불렀다. 협동조합 주담은 그러한 어머니와 달 같은 따뜻한 이미지의 이름을 따라 ‘모월’이라는 우리 술을 빚고 있다.,모월 인 
167,편백숲 산소막걸리 딸기 스파클링은 국내산 찹쌀과 멥쌀을 4번 발효시켜 쌀의 진한 단맛을 우려내고 전남 장성군에서 재배한 설향 딸기를 더하여 한번 더 발효시킨 스파클링 막걸리로 싱그러운 딸기향과 새콤 달콤하고 톡 쏘는 맛의 탄산 가득한 막걸리다. 제조사 청산녹수에서 개발한 O2 발효기술과 한국식품연구원이 찾은 토종효모를 사용하여 부드럽고 새콤달콤한 청량한 산소 같은 느낌의 막걸리를 개발하였다. 세계 최초로 개발된 딸기 스파클링은 상큼한 딸기향과 청량한 스파클링이 결합하여 시원하고 경쾌한 맛을 자랑한다.,편백숲 산소막걸리 딸기스파클링 
168,설련주는 식품명인 제74호로 지정된 곽우선 명인이 빚은 약주이다. 진흙에서 피어도 깨끗한 백련처럼 세상을 살고자 했던 조상의 뜻을 잊지 않기 위해 백련꽃으로 술을 빚어 대대로 제사와 혼례에 마시던 술이다. 직접 빚은 전통누룩을 이용하여 밑술과 두 차례의 덧술로 정성껏 빚은 삼양주이다. 은은한 백련꽃 향이 살아있는 명술이다.,설련주 
169,제조사 추연당에서 생산하는 백년향은 40일 동안 발효하고 60일 동안 저온숙성한 정성이 듬뿍 담긴 백일주 막걸리이다. 또한 삼양주 방식으로 술을 빚는데 삼양주란 한 번에 빚는 밑술에 덧술을 두 번 더해 세 번을 빚는 술을 뜻한다. 그 만큼 제조공정이 까다롭고 술 빚는 이의 정성이 필요하여 예로부터 삼양주는 신분이 높은 양반가에서 즐겨 마시던 술이었다. 백년향은 한식과도 퓨전음식과도 잘 어울린다.,백년향 
170,우리 전통주를 화이트와인처럼 특별하게! 운암1945는 전통주의 대중화와 세계화를 위해 맑은내일에서 개발한 약주다. 전통주와 화이트와인이라는 장르가 만난 한국형 화이트와인으로 5년간 끊임없는 연구를 통하여 출시되었다.,운암1945 
171,추성주는 신라 경덕왕 때부터 고려 성종 때까지 250여 년간 추성군으로 불린 담양의 지명에서 따온 술이다. 연동사라는 절에 늙은 살쾡이가 몰래 그 술을 마시던 중 절에서 공부하는 사람에게 발각되자 자신을 살려준다면 일평생 도움되는 비밀의 책을 주겠다고 했고 그 책을 받은 이영간 이라는 사람이 술을 빚어 전해졌다라는 전설 그 전설의 술이 1000년의 역사를 이어 추성주라는 명주로써 이름을 떨치고 있다. 대한민국 식품명인 22호 양대수 명인이 빚고 있는 술로 천여 년의 맥을 이어온 전통주. 한약재와 숙성된 일반증류주로 알싸한 맛과 은은한 전통누룩 향을 느낄 수 있으며 한약에 거부감이 없는 애주가들이 좋아할 만한 술이다.,추성주 
172,한산소곡주는 백제 1500년의 오랜 역사와 전통을 고스란히 담아 전해 내려오는 전통주다. 찹쌀과 누룩을 주원료로 들국화 메주콩 생강 홍 고추 등의 조화 속에 100일간 숙성을 하여 빚어지는 전통주 한산소곡주는 감미로운 향과 특유의 감칠맛 때문에 취하면 자리에서 일어설 줄 모른다고 하여 ‘앉은뱅이 술’이란 이름으로도 불린다. 2016년 대한민국 우리술품평회 약주 부문에서 장려상을 수상하여 그 품질을 인정 받았다.,한산소곡주 
173,까메오 막걸리는 국내산 쌀을 원료로 지장수의 미네랄이 풍부하게 함유되어 있는 것이 특징이다. 아스파탐을 넣지 않으며 무첨가제로 빚어 뒤끝 없이 깔끔해 세계인의 입맛을 사로잡은 낙천의 대표 프리미엄 막걸리다.,까메오 막걸리 
174,전주지역 특색에 맞는 막걸리를 개발하고자 수년간 전주의 전통주 관련 문헌과 가양주문화를 연구하여 복원해 이를 바탕으로 현대인에 입에 맞게 개발한 생막걸리. 젊은 양조장 답지 않게 전통을 복원 시키려는 노력이 그대로 담겨 있는 소중한 막걸리다.,천년전주 생 막걸리 
175,한산소곡주는 백제 1500년의 오랜 역사와 전통을 고스란히 담아 전해 내려오는 전통주다. 현재 며느리인 우희열 명인이 1979년 충남 무형문화재 3호로 인정받은 故 김영신 여사에게 전수받아 그 명맥을 계승해오고 있다. 찹쌀과 누룩을 주원료로 들국화 메주콩 생강 홍 고추 등의 조화 속에 100일간 숙성을 하여 빚어지는 전통주인 한산소곡주는 감미로운 향과 특유의 감칠맛 때문에 취하면 자리에서 일어설 줄 모른다고 하여 ‘앉은뱅이 술’이란 이름으로도 불린다. 불소곡주는 한산소곡주를 증류하여 만든 알코올 43%의 리큐르이다. 2014년 해외 주류품평회 몽드셀렉션 Spirit&Liqueurs 부문에서 금상을 수상하며 세계를 놀라게 했다. 제조일로부터 10년간 보관이 가능하여 오래 보관할 수록 더 깊어진 향과 맛을 느낄 수 있다.,불소곡주 
176,버림과 기다림으로 완성한 고급 고구마 증류소주 려(驪)고구마증류소주 40도는 100% 여주산 고구마의 향긋함이 상압증류와 옹기숙성으로 더 깊고 풍부한 풍미를 자랑하고 부드러운 목 넘김이 매력적인 고급 증류소주이다. 려(驪)고구마증류소주 40도는 깊고 풍부함을 제대로 즐길 수 있는 알코올 도수의 제품이다.,고구마증류소주 려(驪)40도 
177,연간 1200만 명 이상의 관광객이 드나드는 제주도에 가면 빼놓을 수 없는 관광지인 우도 우도는 섬이지만 땅이 비옥하여 어업보다는 농업이 발달한 섬이다. 여기에서 재배하는 땅콩은 작고 고소하기로 소문 나 있는데 이 땅콩을 원료로 고소한 맛과 향과 맛을 그대로 느껴볼 수 있는 술이 있다. 청주에서 나오는 조은술 세종의 우도 땅콩 전통주를 소개한다.,우도 땅콩 전통주 
178,1977년 설립 후 40여년간 국내는 물론 해외시장에서도 인정 받고 있는 내변산 동진주조의 제품이다. 엄선된 원료로 전통적인 비법으로 제조하면서도 위생적인 작업환경과 최첨단 현대시설장비로 제조하고 있다. 펀치 쌀 바나나는 막걸리에 바나나 농축액이 첨가되어 막걸리가 아닌 기타주류로 분류된다. 바나나의 은은한 향과 단맛이 느껴지고 알코올 4도로 낮아 여성고객들에게 인기 있는 제품이다.,펀치 쌀 바나나 
179,입장 거봉 포도로 만든 두레앙 와인은 알코올 도수가 12도로 남녀노소 누구나 부담 없이 즐길 수 있고 와인 특유의 감칠맛이 뛰어난 한국와인이다. 두레앙 와인은 떫은맛을 내는 탄닌 성분이 강하지 않고 프랑스의 유명 와인인 보졸레 누보와의 소비자 비교 시음회에서 맛은 물론 가격에서도 월등하다는 평을 받은 우수한 와인이다. 천안 입장 지역의 거봉 포도는 알이 굵고 단맛이 높아 남녀노소 누구나 좋아하는 명품 포도로 자리매김하고 있다.,두레앙 와인 
180,조선시대부터 유(柳)씨 집안 대대로 내려오는 전통 제주로 명절과 제사 때 나눠 마시던 술로 마을에 큰 경사나 애사에도 빠짐없이 준비하여 나누던 술이다. 큰 덕을 담은 술이라 하여 대덕주라 불린다. 누룩의 그윽한 감칠맛이 나며 찹쌀의 부드럽고 달콤한 맛으로 인기 있는 제품이다.,산막대덕주 
181,전통주 명가 배혜정도가에서 출시한 배도가 로아 40도 옐로우는 국내산 쌀과 배를 원료로 사용하여 빚은 술을 상압동 증류기를 통해 증류하여 장기간 숙성한 제품이다. 흰 빌깔의 이슬이라는 뜻을 담은 프리미엄 증류주로써 로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미한다. 배를 사용하여 고도주의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 배향을 느낄 수 있는 제품이다.,배도가 로아 40도 옐로우 
182,국가무형문화재 면천두견주는 고려의 개국공신인 복지겸의 전설과 관련이 있는 술이다. 찹쌀과 두견화라 불리는 진달래꽃을 섞어 빚는 술로 가양주(家釀酒)이며 가향주(加香酒)라고 할 수 있다. 양조 횟수로 분류하면 이양주(二釀酒)이며 밑술 빚는 날로부터 발효와 숙성에 이어 저장에 이르기 까지 100일간이라는 장기공정을 거치는 발효주로 색은 담황색이고 단맛이 돌면서 점성이 있는데 일반 곡주와 달리 신맛과 누룩 냄새가 거의 없고 진달래꽃 향기가 일품이다.,면천두견주 700 
183,달콤하면서도 향긋한 바나나 냄새 때문에 바나나 우유를 마시는 듯한 느낌을 받는 조은술 세종의 바나나 주. 국내산 쌀로 빚어 4%의 낮은 도수를 가지고 있어 젊은 층들이 특히 좋아할 만한 술이고 산미는 적고 단맛이 강해 누구나 부담 없이 즐길 수 있는 막걸리다.,바나나 주 
184,지리산 정담 생쌀 막걸리는 40년 가까이 청정지역 지리산에서 술을 빚어온 운봉주조의 대표 막걸리이다. 지리산의 맑은물과 국내산쌀만을 사용하여 제조하는 막걸리로 한층 부드럽고 순한 맛으로 인기가 좋다. 농림축산식품부에서 우리술 품질인증을 받고 2013년 전라북도 우리술품평회에서 수상한 제품이다.,지리산정담생쌀 막걸리 
185,천비향 화주는 시중에 출시되어 있는 전통주와는 원료와 제조방법에서 완전히 차별화를 기하고 국내산 누룩과 1등급 평택 슈퍼오닝쌀만을 이용해 오양주로 빚고 100일간의 발효과정과 9개월간의 장기 저온숙성 과정을 거쳐 탄생한 프리미엄 약주를 증류한 제품이다. 인공감미료 및 방부제는 사용하지 않은 순수 쌀과 누룩만으로 빚어 원재료 쌀의 맛을 살렸다.,천비향 화주 
186,석로주(석이버섯 전통발효주)는 조선중기 서유규가 지은 임원십육지와 준팔생전에 나오는 무릉 도원주라는 술을 모태로 하여 원재료는 대전지역에서 생산되는 최고 품질의 찹쌀(동진찰)과 전통누룩으로 빚은 술이다. 밑술에서부터 2차 덧술에 이르기까지 모두 고두밥으로 지어 3번의 담금 과정을 거쳐 저온 발효 숙성시킨 삼양주이다. 색 맛 향 기능성 등의 전체적인 기호를 높인 고품격의 전통발효주이다.,석로주 
187,황금보리소주는 김제평야에서 재배되는 보리 일명 황금보리를 증류하여 만든 증류식 소주이다. 주정을 섞지 않고 보리만을 100% 증류하여 만든다. 두번 증류하여 참숯에 여과해서 잡내 없는 깔끔함과 은은한 보리 향이 특징이다. 다양한 도수로 나와 있어 색다른 소주의 풍미를 느낄 수 있는 제품으로 여성분들에게도 인기가 높은 제품이다. 고도주에 비해 부드럽고 깔끔한 맛이 매력적인 술이다.,황금보리소주40 
188,술아는 두가지 술이 만나 새로운 술이 만들어지는 한국의 전통주인 과하주를 복원한 제품이다. 과하주는 1670년 음식디미방에 등장하며 발효주와 증류주를 혼합하여 제조한 조선시대 대표적인 명주이다. 1956년 안타깝게 그 명맥이 끊겼으나 최근 그 제조법을 복원하여 상품화 되었다. 술아 국화주는 가을 국화를 넣어 꼬 끝에 스치는 향이 일품이다.,술아 국화주 
189,금이산농원에서 생산하는 복숭아와인은 발포성 와인은 아니지만 높은 완성도를 보이고 있다. 세종시 조치원에서 재배한 잘 익은 복숭아를 원료로하여 저온에서 발효시켰다. 복숭아와인은 세종시를 대표하는 충남지역 특산물로 지역에서는 꽤 알려진 와인이다. 잘 익은 명품 복숭아를 수작업으로 선별하여 색과 맛을 그대로 드러낸다. 우아하고 탐스러운 과실이 적당한 신맛과 단맛을 자아내는 와인이다.,복숭아와인 
190,(농)고창선운산에서 생산하는 고창선운산 땡큐복분자주는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 복분자 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 복분자 고유의 맛과 향이 뛰어나다. 다른 복분자주에 비해 특유의 달콤함을 가지고 있어 가볍게 마시기에 좋다.,고창선운산 땡큐복분자주 
191,술공방 9.0 생막걸리는 곡물 본연의 맛을 살리기 위해 인공첨가물 없이 빚어 인위적인 맛을 더하지 않은 자연주의 수제막걸리이다. 그윽하게 느껴지는 쌀 내음과 한모금 마셨을 때 바닐라향이 은은하게 감돌고 입 안에서는 탄산감이 강하게 느껴진다. 묵직한 바디감에 적당한 단맛과 산미가 조화롭고 입 안에 남는 잔감이 진하고 여운이 있다.,술공방 9.0 생막걸리 
