,특징,상품명
347," 1. 서울시 무형문화재 송절주 기능보유자가 빚는다 안성마춤 생막걸리는 1989년 서울시 무형문화재로 지정된 송절주의 기능보유자 이정자 대표가 빚은 막걸리이다. 한주양조의 이성자 대표는 전통주의 전수와 보존, 사라져간 옛 술을 되살리는데 온갖 노력을 기울여왔으며 최상의 재료로 정직한 맛의 막걸리를 만들기 위해 최선을 다하고 있다.,  2. 정성에 다시 정성을 더하다 안성마춤 생막걸리는 기나긴 시간 동안 작은 차이조차 실패로 여기며 최고의 제법을 찾아 노력해온 결과 5일 안에 만들어지는 여타의 막걸리와 다르게 12일이 넘는 저온 장기발효로서 깊고 깔끔한 맛의 막걸리 제법을 확립한 제품이다. 정성 들여 오랜 만든 술이 곧 오래 즐길 수 있다는 양조철학으로 빚은 막걸리이다.,  3. 맛도 좋지만 품질도 좋은 1000ml의 넉넉한 막걸리 쌀 본연의 맛이 살아 있는 생쌀발효법(무증자기법) 양조기술을 적용하여 만든 안성마춤 생막걸리는 옛 막걸리의 향수를 불러 일으키는 정통 막걸리이다. 일반적인 750ml 보다 많은 1,000ml 용량으로 출시되어 넉넉하게 마실 수 있으며 국세청에서 실시하는 주류품질인증에서 골드라벨을 받을 정도로 위생적으로 생산한 막걸리이다.",안성마춤 생막걸리
348," 1. 대나무의 고장 담양답게 죽력이 첨가된 특별한 술 명렬한 기세로 땅을 뚫고 하늘로 치솟는 대나무의 성질을 전통방법으로 담아내어 만든 것이 죽력, 즉 대나무의 수액이다. 죽력은 알칼리성의 건강식품으로 오래전부터 가정상비약으로 요긴하게 쓰인 민간약재이다. 죽력을 이용해 술을 빚은 것이 육당 최남선이 조선3대 명주로 꼽았던 죽력고이다. 죽력이 첨가되면 은은한 단맛과 대나무향이 어우러져 술의 풍미가 깊어진다.  2. 대한민국 식품명인이 빚은 장인의 술 제조사 추성고을은 대한민국 식품명인 양대수 명인의 손길을 거쳐 국내외에서 사랑받고 있는 다양한 술이 빚어진다. 추성주, 대잎술, 타미앙스 그리고 최근에는 젊은고객을 대상으로한 파티용 전통주인 르깔롱과 티나를 선보이고 있다. 4대를 이어 술을 빚고 있는 양대수 명인은 고문헌의 전통주를 복원하여 전통을 이어가는 것도 중요하지만 전통주를 대중화할 수 있는 현대를 살아가는 소비자의 기호에 맞는 새로운 전통주가 개발도 함께 병행되어야 한다고 말한다.  3. 전통주 체험이 가능한 찾아가는 양조장 제조사 추성고을은 전통주 문화 체험과 지역 관광을 연계하여 농업의 6차산업을 이끌고 있는 찾아가는 양조장에 선정된 곳이다. 농림축산식품부에서는 매년 전국 양조장 중에서 우수한 환경의 양조장을 선별하여 찾아가는 양조장으로 지정하고 있다. 추성고을을 방문하면 명인주의 유래와 전통주 관련 다양한 이야기, 전통주 만들기 체험, 그리고 인근 추월산, 금성산성, 죽녹원 등의 관광을 연계하는 프로그램을 경험할 수 있다.",르깔롱
349," 1. 100번째 맛의 방주에 등재된 해방풍으로 술을 빚다. 해방풍은 바닷가의 모래땅에서 자라는 식물로 향긋한 향취가 있어 맛이 좋고 입안에 풍부한 향을 남긴다. 줄기와 잎은 나물로 먹을 수 있고 뿌리는 해열, 진통제 등으로 쓰였다. 중풍과 관절통 치료에도 효험이 있는 것으로 알려졌다. 해방풍은 맛의 방주(국제슬로푸드에서 잊혀가는 음식의 맛을 재발견하고 멸종위기에 놓인 종자와 음식을 찾아 보전하는 프로그램)의 100번째 식재료로 선정되어 귀한 가치를 인정 받았다.  2. 경북 동해안 지역 전통주 명가 영덕주조 제조사 영덕주조는 2010년에 설립되어 울금과 버섯, 해방풍을 이용한 막걸리 제조에 특허를 받고 생산하는 다양한 제품이 국가에서 지정하는 술품질인증을 획득한 술 빚기에 실력을 갖춘 술도가이다. 2012년에는 벤처기업에 선정되었고 매해 대한민국 우리술품평회에서 우수한 성적을 거둔 곳으로 건강에 이로운 재료를 활용해 현대적이고 위생적인 시설에서 다양한 술을 생산하고 있는 역량 있는 제조사이다.  3. 좋은 술을 나누듯 지역사회와 함께하는 양조장 영덕주조는 판매하는 술의 수익금 일부를 정기적으로 지역사회에 환원하고 있다. 전통주 제조사로서는 최초로 사회적기업으로 지정된 영덕주조는 지역 농특산물을 이용해 전통주를 생산하여 지역경제활성화에 기여하고 있으며 지역의 저소득 독거노인, 장애인 등 소외계층을 고용해 일자리 창출에도 기여하고 있다. 좋은 술을 이웃과 나누던 우리의 가양주문화처럼 지역 사회와 함께 하는 영덕주조는 나눔의 가치를 실현하는 철학이는 양조장이다.",해방주 18.8%
350," 1. 몸에 좋은 100% 산머루로 와인을 빚다. 포도과에 속하는 머루는 페놀 성분인 안토시안닌, 플라보노이드, 유기산류 등이 풍부하여 항암 작용, 항알러지성과 혈관 이완 작용 등의 생리 활성을 하는 것으로 알려져있다. 알칼리성 식품으로 식용 포도에 비해 5~10배 이상의 좋은 성분을 지니고 있다. 산머루농원이 있는 적성면 객현리 감악산 일대는 산머루 마을로 불린다. 이 주변에서만 50여개 농가가 산머루를 키운다. 산머루농원은 이 지역에서 생산되는 머루를 전량 수매하여 부가가치 높은 와인으로 빚고 있다.  2. 세계인이 찾아오는, 세계인이 인정하는 와이너리 한 해 산머루농원을 찾는 국내외 관광객은 8만 5천명 이상이다. 그 중에 해외 관광객은 70%를 차지하는 6만명 이상을 기록하고 있다. 산머루농원에서 만든 다양한 머루주는 미국, 일본, 싱가폴, 중국, 홍콩, 대만 등지로 수출하고 있다. 2009년에는 은탑산업훈장을 수상하고 2010년 대한민국 우리술품평회에서는 과실주부문 대상을 수상하며 맛과 품질을 인정 받았다.  3. 찾아가는 양조장으로 선정된 체험형 와이너리 산머루농원은 체험 관광지로서도 유명하다. 서 대표는 주변 사람들이 73m에 달하는 와인 터널을 신기해하는 것에 착안해 와이너리 체험 프로그램을 개발했다. 연간 30만톤 가량 생산되는 머루로 와인, 잼 만들기 체험부터 지하 와인터널 견학 등 다양한 와이너리 체험 프로그램을 운영하고 있다. 산머루농원은 농림축산식품부에서 지정하는 찾아가는 양조장에도 선정되어 농업의 새로운 부가가치산업인 6차 산업의 성공 모델이 되었다.",감악산 머루주
351," 1. 신비의 약초, 천년초로 술을 빚다. 천년주에는 신선의 손바닥이라고 불리는 천년초가 함유되어 있다. 천년초는 우리나라 각지에서 자생하고 있는 선인장인데 천년초의 가장 강력한 효능이라면 인체 내의 면역력을 키워주고 우리 인체로 쳐들어오는 모든 병원균을 억제, 차단, 박멸하는데 필수적인 인체방어군을 활성화시키는 점이라는 것이다. 천년초에 함유돼 있는 성분을 다른 작물과 비교해 보면 또한 칼슘이 멸치의 7배, 식이섬유가 곡물과 채소의 각각 6배와 8배, 불포화지방산이 생선 중 가장 높은 고등어의 3배, 비타민C가 알로에보다 무려 8배이고 오렌지보다 무려 13배나 수치가 높다.,  2. 경북 동해안 지역 전통주 명가 영덕주조 제조사 영덕주조는 2010년에 설립되어 울금과 버섯, 해방풍을 이용한 막걸리 제조에 특허를 받고 생산하는 다양한 제품이 국가에서 지정하는 술품질인증을 획득한 술 빚기에 실력을 갖춘 술도가이다. 2012년에는 벤처기업에 선정되었고 매해 대한민국 우리술품평회에서 우수한 성적을 거둔 곳으로 건강에 이로운 재료를 활용해 현대적이고 위생적인 시설에서 다양한 술을 생산하고 있는 역량 있는 제조사이다.  3. 좋은 술을 나누듯 지역사회와 함께하는 양조장 영덕주조는 판매하는 술의 수익금 일부를 정기적으로 지역사회에 환원하고 있다. 전통주 제조사로서는 최초로 사회적기업으로 지정된 영덕주조는 지역 농특산물을 이용해 전통주를 생산하여 지역경제활성화에 기여하고 있으며 지역의 저소득 독거노인, 장애인 등 소외계층을 고용해 일자리 창출에도 기여하고 있다. 좋은 술을 이웃과 나누던 우리의 가양주문화처럼 지역 사회와 함께 하는 영덕주조는 나눔의 가치를 실현하는 철학이는 양조장이다.",천년주
352," 1. 백범 김구 선생과 얽힌 양조장 스토리 『백범일지』 「삼남견문록」에는 김구선생이 인천형무소에서 가석방되어 오산장에 머물며 술을 마셨다는 기록이 남아있다. 평소 김구선생을 흠모하던 오산의 김삼척이 자신의 여섯 아들과 김구선생을 모시고 며칠을 술 마시고 노래 부르며 보냈다고 한다. 그 장소가 바로 오산장 고술막거리다. 고술막거리에는 술집이 밀집되어 있었고 현 오산양조의 바로 뒷골목으로부터 오산천에 이르는 장터 거리로 그 한 가운데에는 양조장이 자리하고 있었다. 그들이 마셨던 술이 오산의 막걸리였고 현재의 오산양조는 오산 세마쌀을 원료로 옛 오산 막걸리의 명맥을 잇는 술을 빚고 있다.  2. 전통시장에 자리잡은 작은 양조장에서 만든 큰 술 오산양조는 지역에서 생산되는 원료인 세마쌀을 사용하여 아스파탐, 아세설팜칼륨, 합성 착향료 등을 넣지 않고, 맛과 향을 살려 시중의 일반제품들과 차별화 하며 탁주, 증류식 소주, 요리술을 생산하고 있다. 오산의 유명한 전통시장에서 작은양조장이지만 그 맛과 품질은 오산을 넘어 전국 방방곡곡으로 알려지고 있다.  3. 지역민과 함게 하는 문화 양조장 오산양조는 오산에 자리잡은 양조장이면서 지역민의 문화적 욕구를 충족시키는 다양한 문화 프로그램을 운영하며 지역민들과 함께 성장하고 있는 문화 양조장이다. 술 빚기 어려운 여름을 제외하고 연간 3회 전통주 빚기 프로그램을 운영하고, 전통주 체험행사를 원하는 고객을 위해 전통주 일일체험 프로그램과 수제맥주, 와인클래스 등도 운영하고 있다.",오산막걸리
353," 1. 강원도를 대표하는 철원 오대쌀 100%로 술을 빚다. 철원 오대쌀은 휴전 이후 인적이 끊긴 비무장지대(DMZ)에서 흘러드는 청정한 물과 해발 250m 고지대의 신선한 바람, 기름진 흙, 깨끗한 자연환경이 그대로 보존된 천혜의 무공해 청정지역에서 재배된다.철원 지역은 병충해 발생이 적어 농약살포 횟수가 적어 저농약 쌀로 전국 최초로 품질인증을 받은 쌀이다. 2004년 고품질 쌀 생산평가 대통령상, 2005년 전국 쌀 축제 평가 대통령상을 수상한 명품쌀이다. 대작영농조합에서 생산하는 모든 술은 값비싼 철원 오대쌀 100%로 만든다.  2. 통일을 염원하는 모을동주 브랜드에 담긴 뜻 모을동주란 이름은 고구려시대 우리 조상이 철원 들판을 부르던 ‘모을동비(毛乙冬非)’에서 따왔다. 말을 타고 요동과 만주벌을 넘나들던 고구려인의 기상을 되살리고 남북통일의 씨앗이 되고자 하는 철원인의 염원을 담았다. 통일철원의 들판에서 오대쌀을 키우고 거둬 술로 빚어 하늘에 바치고 사람과 나누며 큰 잔치를 열고픈 바람을 모을동주란 이름에 새겼다.  3. 지역을 넘어 전국구로 철원군농민회의 도전은 계속된다. 철원 오대쌀의 소비를 늘려보고자 시작한 술 생산은 첫번째로 출시한 대작 생막걸리에 이어 모을동주 약주, 모을동주 소주로 주종을 다양화해서 출시하고 있다. 강원도 지역축제에서 시음을 통해 알리고, 로컬푸드장터인 DMZ 마켓에서 관광객을 대상으로 홍보활동에 여념이 없다. 철원 오대쌀의 향기가 가득한 술로 철원 지역을 넘어 대한민국을 대표하는 명주로 나아가기 위해 철원군 농민들의 도전은 계속된다.",모을동주 소주
354," 1. 강원도를 대표하는 철원 오대쌀 100%로 술을 빚다. 철원 오대쌀은 휴전 이후 인적이 끊긴 비무장지대(DMZ)에서 흘러드는 청정한 물과 해발 250m 고지대의 신선한 바람, 기름진 흙, 깨끗한 자연환경이 그대로 보존된 천혜의 무공해 청정지역에서 재배된다.철원 지역은 병충해 발생이 적어 농약살포 횟수가 적어 저농약 쌀로 전국 최초로 품질인증을 받은 쌀이다. 2004년 고품질 쌀 생산평가 대통령상, 2005년 전국 쌀 축제 평가 대통령상을 수상한 명품쌀이다. 대작영농조합에서 생산하는 모든 술은 값비싼 철원 오대쌀 100%로 만든다.  2. 통일을 염원하는 모을동주 브랜드에 담긴 뜻 모을동주란 이름은 고구려시대 우리 조상이 철원 들판을 부르던 ‘모을동비(毛乙冬非)’에서 따왔다. 말을 타고 요동과 만주벌을 넘나들던 고구려인의 기상을 되살리고 남북통일의 씨앗이 되고자 하는 철원인의 염원을 담았다. 통일철원의 들판에서 오대쌀을 키우고 거둬 술로 빚어 하늘에 바치고 사람과 나누며 큰 잔치를 열고픈 바람을 모을동주란 이름에 새겼다.  3. 지역을 넘어 전국구로 철원군농민회의 도전은 계속된다. 철원 오대쌀의 소비를 늘려보고자 시작한 술 생산은 첫번째로 출시한 대작 생막걸리에 이어 모을동주 약주, 모을동주 소주로 주종을 다양화해서 출시하고 있다. 강원도 지역축제에서 시음을 통해 알리고, 로컬푸드장터인 DMZ 마켓에서 관광객을 대상으로 홍보활동에 여념이 없다. 철원 오대쌀의 향기가 가득한 술로 철원 지역을 넘어 대한민국을 대표하는 명주로 나아가기 위해 철원군 농민들의 도전은 계속된다.",모을동주 약주
355," 1. 시나브로... 와인메이커로서 명성을 쌓아가다 와이너리 불휘농장이 명성을 얻기 시작한 것은 2014년부터이다. 양조면허를 획득하고 제품판매에 나선지 3년만에 이룬 쾌거였다. 제1회 한국와인대상에서 시나브로 로제 와인이 은상, 2015년 아시아와인트로피에서 시나브로 화이트 골드와인으로 금상, 같은 해 한국와인베스트셀렉션에서 대상, 2016년에도 로제와인과 레드 드라이 와인, 레드 스위트 와인으로 금상, 은상을 수상한데 이어 2018년에는 대한민국 주류대상에서 시나브로 컬트와인으로 대상을 수상했다. 불휘농장에서 생산하는 다양한 와인이 각종 주류품평회에서 시나브로라는 이름과는 달리 맹렬하게 수상을 이어가고 있다.,  2. 한국와인의 1번지 충북 영동와인 2005년에 포도와인 산업특구로 지정된 영동군은 국내 와인산업을 이끄는 기업형 1개소, 농가형 42개소, 총 43개소의 와이너리를 육성하고 있으며, 청정 지역의 고품질 포도를 활용해 생산, 가공, 체험까지 6차 산업을 아우르고 있다. 2017년 국가브랜드대상에서 와인 부문 대상을 수상하며 이름을 높였다. 영동와인은 아직도 높은 발전가능성을 가지고 있으며, 2018년 완공된 와인테마터널과 연계하여 와인관광의 메카로 거듭나고 있다. 제조사 불휘농장은 영동와인 중에서도 가장 돋보기는 와이너리로 다양한 제품이 국내외 와인품평회에서 우수한 성적을 거두며 수상을 이어가고 있다.  3. 농가형체험 와이너리로 새로운 지평을 열다. 불휘농장은 와인 관련 각종 체험 프로그램을 도입해 소비자를 농장으로 불러모으고 있다. 포도 수확기에는 직접 포도도 따고 나만의 와인을 만들어 볼 수도 있다. 와인을 섞은 따뜻한 물에 발을 담가 일상의 피로를 풀어보는 와인족욕과 포도껍질을 이용한 천연염색도 인기다. 가족단위 체험객을 위해 게스트룸과 카라반을 갖추었고, 대규모 체험객을 위해서는 인근에 대형 숙박시설과 연계하여 팜스테이도 운영하고 있다.",시나브로 레드 스위트
356," 1. 무농약 친환경농법으로 재배한 명품쌀로 빚다. 명세주가에서 생산하는 모든 제품은 100% 경영주가 직접 재배한 청원생명쌀을 사용한다. 청원생명쌀은 세계3대 광천수의 고창에서 친환경적 미량 요소가 풍부한 충적토에서 재배하여 영양이 풍부한 쌀로 3년 연속 전국 쌀 품질평가에서 대상을 수상하고 고품질브랜드쌀 LOVE-米 7회 수상, 8년 연속 대한민국 LOHAS 인증을 획득한 충북을 대표하는 명품쌀이다.,  2. 특별한 술을 더욱 특별하게 만드는 맑은 물 술의 맛은 물이 좋아야 한다. 명세주가가 위치한 가덕면 한계리는 백족산의 맑은 지하 암반수가 나오는 고장이다. 백족산은 조선7대 임금인 세조가 속리산의 복천암으로 행차하던 중 날씨가 더워 백족산 산자락에서 물에 발을 담갔는데 발이 하얗게 되었다고 하여 백족산이라 불렀고 지금도 차고 맑은 물이 샘솟고 있다. 청원의 명품쌀과 백족산의 맑은 물이 만나 명세주가의 술 맛은 한층 특별해졌다.  3. 순박하고 정겨운 느낌의 충북 명품 막걸리 가덕면 순쌀 막걸리는 제품명에서조차 순박하고 정겨운 느낌이다. 뽀얀 우유 빛깔이 하얀 순쌀의 느낌을 그대로 표현해주고 있는데 탄산이 적고 은은한 단맛을 자아낸다. 막걸리 특유의 냄새도 적고 깔끔한 맛이 난다. 이미 충청북도 지역에서는 많은 소비자의 입맛을 사로잡은 지역 명품 막걸리이다.",가덕 순쌀 막걸리
357," 1. 한 방울, 한 방울 정성껏 증류하여 담아내다. 샤토미소 영동은 2018년 제조사 도란원에서 새롭게 선보인 와인을 증류한 브랜디이다. 특이한 점은 오크통에서 숙성하지 않고 대나무를 이용해 숙성을 한다는 점이다. 깊이 있는 향과 긴 여운을 자아내고 부드러운 목 넘김으로 한국형 브랜디의 새로운 맛을 경험할 수 있다.,  2. 한국와인의 1번지 충북 영동와인 2005년에 포도와인 산업 특구로 지정된 영동군은 국내 와인산업을 이끄는 기업형 1개소, 농가형 42개소, 총 43개소의 와이너리를 육성하고 있으며, 청정 지역의 고품질 포도를 활용해 생산, 가공, 체험까지 6차 산업을 아우르고 있다. 2017년 국가브랜드대상에서 와인 부문 대상을 수상하며 이름을 높였다. 영동와인은 아직도 높은 발전가능성을 가지고 있으며, 2018년 완공된 와인테마터널과 연계하여 와인관광의 메카로 거듭나고 있다. 제조사 도란원은 영동와인 중에서도 가장 돋보기는 와이너리로 다양한 제품이 국내외 와인품평회에서 우수한 성적을 거두며 수상을 이어가고 있다.  3. 2019년 찾아가는 양조장으로 선정 제조사 도란원은 2019년 찾아가는 양조장으로 선정되었다. 찾아가는 양조장은 농림축산식품부에서 중점을 기울이는 사업으로 지역 양조장의 문화를 체험 관광과 연계하는 사업이다. 2009년 와이너리를 설립한 이래 2011년부터 매해 수많은 주류품평회를 휩쓸고 있는 도란원의 우수한 제품을 와이너리에서 직접 만나보고 와인 관련 다양한 체험을 겸할 수 있는 프로그램을 운영하며 찾아오시는 고객 모두에게 가득한 미소를 선사하고 있다.",샤토미소 영동
358," 1. 친환경 유기농 포도로 직접 재배한다. 갈기산 포도농원은 현재 포도(MBA, 킹데라웨어 등) 2,000평, 블루베리 1,000평을 경작하며 친환경 유기농법으로 재배한 포도로 레드 스위트&드라이와인, 로제와인, 화이트와인, 머루와인, 블루베리와인 등을 생산하고 있다. 한국와인의 1번지로 통하는 충북 영동군에서 지역의 특산물인 포도를 가공한 고부가가치 상품인 와인을 생산할 때 초창기부터 참여하여 영동군의 와인산업을 이끌었다.  2. 한국와인의 1번지 충북 영동와인 2005년에 포도와인 산업특구로 지정된 영동군은 국내 와인산업을 이끄는 기업형 1개소, 농가형 42개소, 총 43개소의 와이너리를 육성하고 있으며, 청정 지역의 고품질 포도를 활용해 생산, 가공, 체험까지 6차 산업을 아우르고 있다. 2017년 국가브랜드대상에서 와인 부문 대상을 수상하며 이름을 높였다. 영동와인은 아직도 높은 발전가능성을 가지고 있으며, 2018년 완공된 와인테마터널과 연계하여 와인관광의 메카로 거듭나고 있다.  3. 수 많은 주류품평회에서 수상한 이력 갈기산포도농원은 포도농장과 와이너리를 함께 운영하고 농가형 와이너리로 2012년, 2016년 한국와인품평회에서 은상을 수상하고, 2014년, 2017년 한국와인대상 실버상, 2015년에는 한국와인 베스트컬렉션 은상을 수상하고, 2016년에는 ASEM 정상회의 만찬주로도 선정되어 그 맛과 품질을 인정 받았다. 2019년에는 대한민국 우리술품평회 과실주부문 우수상을 수상하기도 했다.",포엠 로제와인
359," 1. 무농약 친환경농법으로 재배한 명품쌀로 빚다. 명세주가에서 생산하는 모든 제품은 100% 경영주가 직접 재배한 청원생명쌀을 사용한다. 청원생명쌀은 세계3대 광천수의 고창에서 친환경적 미량 요소가 풍부한 충적토에서 재배하여 영양이 풍부한 쌀로 3년 연속 전국 쌀 품질평가에서 대상을 수상하고 고품질브랜드쌀 LOVE-米 7회 수상, 8년 연속 대한민국 LOHAS 인증을 획득한 충북을 대표하는 명품쌀이다.,  2. 특별한 술을 더욱 특별하게 만드는 맑은 물 술의 맛은 물이 좋아야 한다. 명세주가가 위치한 가덕면 한계리는 백족산의 맑은 지하 암반수가 나오는 고장이다. 백족산은 조선7대 임금인 세조가 속리산의 복천암으로 행차하던 중 날씨가 더워 백족산 산자락에서 물에 발을 담갔는데 발이 하얗게 되었다고 하여 백족산이라 불렀고 지금도 차고 맑은 물이 샘솟고 있다. 청원의 명품쌀과 백족산의 맑은 물이 만나 명세주가의 술 맛은 한층 특별해졌다.  3. 새콤달콤한 매실 특유의 맛과 은은한 향이 매력적 매실향기 담은 술은 상표명에서 바로 알 수 있듯이 국내산 매실이 첨가된 향긋한 맛의 약주이다. 쌀과 누룩을 주원료로 동동주를 빚어 매실 효소액을 첨가하여 오랜 시간 발효 숙성한 제품이다. 매실주 특유의 새콤하고 달콤한 맛이 나며 알코올 냄새가 거의 나지 않도록 만들었다. 더운 여름에는 칵테일로 만들어 시원하게 즐기거나 얼음에 희석할 경우 알코올 도수를 낮춰 부담을 덜 수 있다.",매실향기 담은 술
360," 1. 친환경 유기농 포도로 직접 재배한다. 갈기산 포도농원은 현재 포도(MBA, 킹데라웨어 등) 2,000평, 블루베리 1,000평을 경작하며 친환경 유기농법으로 재배한 포도로 레드 스위트&드라이와인, 로제와인, 화이트와인, 머루와인, 블루베리와인 등을 생산하고 있다. 한국와인의 1번지로 통하는 충북 영동군에서 지역의 특산물인 포도를 가공한 고부가가치 상품인 와인을 생산할 때 초창기부터 참여하여 영동군의 와인산업을 이끌었다.  2. 한국와인의 1번지 충북 영동와인 2005년에 포도와인 산업특구로 지정된 영동군은 국내 와인산업을 이끄는 기업형 1개소, 농가형 42개소, 총 43개소의 와이너리를 육성하고 있으며, 청정 지역의 고품질 포도를 활용해 생산, 가공, 체험까지 6차 산업을 아우르고 있다. 2017년 국가브랜드대상에서 와인 부문 대상을 수상하며 이름을 높였다. 영동와인은 아직도 높은 발전가능성을 가지고 있으며, 2018년 완공된 와인테마터널과 연계하여 와인관광의 메카로 거듭나고 있다.  3. 수 많은 주류품평회에서 수상한 이력 갈기산포도농원은 포도농장과 와이너리를 함께 운영하고 농가형 와이너리로 2012년, 2016년 한국와인품평회에서 은상을 수상하고, 2014년, 2017년 한국와인대상 실버상, 2015년에는 한국와인 베스트컬렉션 은상을 수상하고, 2016년에는 ASEM 정상회의 만찬주로도 선정되어 그 맛과 품질을 인정 받았다. 2019년에는 대한민국 우리술품평회 과실주부문 우수상을 수상하기도 했다.",포엠 화이트와인
361," 1. 신라시대로 거슬러 올라가는 하향주 신라 흥덕왕 때 도성국사가 수도한유가사 도성암이 병란으로 불탄 후 중수를 할 때 인부들이 먹을 토주를 빚었는데 이 토주가 비슬산 일대 민가에 전승된 것이 하향주다. 이후 조선왕조 광해군 때 천년 요새인 비슬산에 주둔하던 군사들이 유가사에서 빚은 하향주를 즐겨 먹었으며 당시 대장이 진상한 하향주를 맛본 광해군이 천하 명주라고 칭송하였고 그 후 해마다 10월이 되면 하향주를 조정에 진상하였다고 한다.  2. 하향주를 더욱 돋보이게 하는 원재료 하향주 제조에는 순수 국내산 최상급 재료만을 사용하여, 원료에 따른 효능으로는 위장보호(찹쌀), 혈액순환 개선 및 노화 방지(약쑥), 두통 제거 및 기관지 보호(들국화), 해독 및 미용 작용(인동초)이 있다. 민속주 특유의 5미(五味 - 신맛, 단맛, 떫은 맛, 쓴맛, 구수한 맛)가 어우러진 술로서 연꽃 향이 뒷맛으로 남아 입안에 은은히 감도는 특성이 있다. 100% 토종 찹쌀로 빚어 입에 착 달라붙으면서도 달지 않으며 주도 17도로서 예로부터 물 좋고, 술 좋은 곳으로 널리 알려진 유가면 음리에서 4대째 전승해오고 있는 전통 민속주이다.  3. 자연의 순리로 빚은 사람에게 이로운 술 동의보감 약탕편과 방약합편(方藥合編) 약리작용에 의하면 하향주는 독이 없으며 열과 풍을 제거하고 두통을 치료하고 눈에 핏줄을 없애고 눈물 나는 것을 멈추게 한다고 기록되어 있다. 이런 문헌의 기록을 보면 하향주는 약리작용이 뛰어난 건강식품으로 손색이 없는 고급술이라 할 수 있다. 또한 하향주는 전통누룩을 사용하여 술을 빚어 풍부한 미생물에서 나오는 깊은 풍미가 일품이다.",하향주 증류주
362," 1. 시나브로... 와인메이커로서 명성을 쌓아가다. 와이너리 불휘농장이 명성을 얻기 시작한 것은 2014년부터이다. 양조면허를 획득하고 제품판매에 나선지 3년만에 이룬 쾌거였다. 제1회 한국와인대상에서 시나브로 로제 와인이 은상, 2015년 아시아와인트로피에서 시나브로 화이트 골드와인으로 금상, 같은 해 한국와인베스트셀렉션에서 대상, 2016년에도 로제와인과 레드 드라이 와인, 레드 스위트 와인으로 금상, 은상을 수상한데 이어 2018년에는 대한민국 주류대상에서 시나브로 컬트와인으로 대상을 수상했다., 2019년에는 아시아와인트로피 4년 연속 골드 수상, 대한민국 우리술품평회 과실주부문에서 최우수상을 수상 했다. 불휘농장에서 생산하는 다양한 와인이 각종 주류품평회에서 시나브로라는 이름과는 달리 맹렬하게 수상을 이어가고 있다.,  2. 한국와인의 1번지 충북 영동와인 2005년에 포도와인 산업특구로 지정된 영동군은 국내 와인산업을 이끄는 기업형 1개소, 농가형 42개소, 총 43개소의 와이너리를 육성하고 있으며, 청정 지역의 고품질 포도를 활용해 생산, 가공, 체험까지 6차 산업을 아우르고 있다. 2017년 국가브랜드대상에서 와인 부문 대상을 수상하며 이름을 높였다.영동와인은 아직도 높은 발전가능성을 가지고 있으며, 2018년 완공된 와인테마터널과 연계하여 와인관광의 메카로 거듭나고 있다. 제조사 불휘농장은 영동와인 중에서도 가장 돋보기는 와이너리로 다양한 제품이 국내외 와인품평회에서 우수한 성적을 거두며 수상을 이어가고 있다.  3. 2020년 찾아가는 양조장으로 선정 불휘농장은 2020년 찾아가는 양조장으로 선정되어 농가형 체험 와이너리로 고객을 맞이하고 있다. 와인 관련 각종 체험 프로그램을 도입해 소비자를 농장으로 불러모으고 있다. 포도 수확기에는 직접 포도도 따고 나만의 와인을 만들어 볼 수도 있다.와인을 섞은 따뜻한 물에 발을 담가 일상의 피로를 풀어보는 와인족욕과 포도껍질을 이용한 천연염색도 인기다. 가족단위 체험객을 위해 게스트룸과 카라반을 갖추었고, 대규모 체험객을 위해서는 인근에 대형 숙박시설과 연계하여 팜스테이도 운영하고 있다.",시나브로 로제와인
363," 1. 국내산 복분자 100%로 제대로 발효하고 숙성한다. 샹스프랑보아즈는 냉동된 복분자과실을 해동하여 발효하는 것이 아닌 엄선된 복분자를 바로바로 생과 상태로 공동 사용하는 효모가 아닌 고유의 것을 이용하여 장기간의 발효와 숙성단계를 거쳐 복분자 특유의 색과 향, 그리고 맛이 그대로 살아있는 샹스프랑보아즈가 생산된다. 이 제품은 일반 복분자주 보다는 단맛이나 향이 강하지 않아 와인의 풍미를 느낄 수 있는 제품이다.,  2. 해풍 맞으며 자란 새콤달콤한 고창 복분자 지리적 표시 3호로 등록된 고창의 비옥한 토질에서 생산된 복분자가 선운산 복분자주의 근간이다. 전북 고창은 복분자의 고향이라고 불려도 손색이 없을 만큼 최상급의 복분자가 재배되고 있는 지역이다. 서해에서부터 시작된 해풍을 맞아 비옥한 땅에 자리잡고 영글어가는 새콤달콤한 맛이 일품인 1등급 복분자는 타 지역에 비해 수확시기가 빨라 품질 좋은 복분자를 가장 먼저 만나 뵐 수 있는 곳이다.,  3. 복분자이야기, 요강을 뒤엎다. 옛날 한 부부가 대를 이을 자식이 없어 고민하던 중 노년에 아들을 하나 두었는데 너무 병약하였다. 좋다는 약은 모두 구하여 먹여 보았지만 효과가 없었다. 그러던 중 지나가던 선운사의 주지 스님이 산속의 검은 딸기를 권하였고 날마다 검은 딸기를 부지런히 먹였더니 놀랍게도 아들은 건강해졌다. 그 아들이 얼마나 건강했는지 소변을 보면 소변줄기가 요강을 뒤엎어 버릴 정도였다고 한다. 하도 신기한 나머지 사람들은 이 약재의 이름을 복분자(覆盆子)라고, 즉 요강을 뒤엎는 과실이라고 지었다는 유래가 있다.",샹스프랑보아즈
